

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.


queryDateTime:2019-10-01T08:46:21PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.	Object Name	RA	DEC	Type	Velocity	Redshift	Redshift Flag	Magnitude and Filter	Separation	References	Notes	Photometry Points	Positions	Redshift Points	Diameter Points	Associations
40	SDSS J003645.67+003621.9	  9.19030 	   0.60611 	G	   -81	-0.000271 	SPEC	22.8g	  0.000	2	0	15	2	1	4	0
41	SDSS J004025.36+143458.7	 10.10567 	  14.58298 	G	   -20	-0.000066 	SPEC	21.9g	  0.000	2	0	15	2	1	4	0
42	SDSS J004121.43+153401.4	 10.33930 	  15.56707 	G	   -49	-0.000165 	SPEC	20.8g	  0.000	0	0	15	3	2	4	0
43	SDSS J004142.95+010850.2	 10.42900 	   1.14729 	G	   -35	-0.000117 	SPEC	21.6g	  0.000	2	0	15	3	2	4	0
44	SDSS J004249.69-095726.3	 10.70705 	  -9.95731 	G	 -1068	-0.003561 	SPEC	15.9g	  0.000	1	0	15	2	1	4	0
45	SDSS J004327.42+001030.5	 10.86429 	   0.17514 	G	  -171	-0.000569 	SPEC	21.4g	  0.000	2	0	15	2	1	4	0
46	SDSS J004343.42+010935.0	 10.93094 	   1.15974 	G	   -34	-0.000113 	SPEC	21.7g	  0.000	1	0	15	2	1	4	0
47	SDSS J004402.27-001556.5	 11.00948 	  -0.26570 	G	  -211	-0.000705 	SPEC	22.7g	  0.000	0	0	15	2	1	4	0
48	SDSS J004556.11+003044.6	 11.48380 	   0.51241 	G	    -8	-0.000028 	SPEC	20.2g	  0.000	2	0	15	2	1	4	1
49	SDSS J004639.61+144033.3	 11.66505 	  14.67592 	G	    -3	-0.000010 	SPEC	22.5g	  0.000	2	0	15	2	1	4	0
50	SDSS J004658.20+004130.2	 11.74254 	   0.69173 	G	    -4	-0.000015 	SPEC	20.5g	  0.000	0	0	15	4	3	4	0
51	SDSS J004723.56+005105.2	 11.84821 	   0.85145 	G	   -17	-0.000056 	SPEC	21.4g	  0.000	2	0	15	2	1	4	0
52	SDSS J005134.62+154836.7	 12.89427 	  15.81021 	G	   -36	-0.000120 	SPEC	21.4g	  0.000	0	0	15	2	1	4	0
53	SDSS J005508.08-003138.8	 13.78369 	  -0.52747 	G	  -184	-0.000615 	SPEC	20.1g	  0.000	1	0	15	2	1	4	0
54	SDSS J005514.06-010408.3	 13.80861 	  -1.06899 	G	   -12	-0.000041 	SPEC	21.2g	  0.000	2	0	15	2	1	4	0
55	SDSS J005701.77+003442.0	 14.25740 	   0.57836 	G	   -19	-0.000062 	SPEC	21.4g	  0.000	1	0	15	2	1	4	0
56	SDSS J005720.53+152201.9	 14.33558 	  15.36720 	G	   -19	-0.000065 	SPEC	22.6g	  0.000	0	0	15	2	1	4	0
57	SDSS J005931.16+133500.3	 14.87985 	  13.58342 	G	   -29	-0.000098 	SPEC	22.6g	  0.000	2	0	15	2	1	4	0
58	SDSS J010247.76-002508.2	 15.69901 	  -0.41895 	G	   -52	-0.000173 	SPEC	21.1g	  0.000	2	0	15	2	1	4	1
59	SDSS J010343.48+133534.2	 15.93120 	  13.59284 	G	    -4	-0.000012 	SPEC	21.2g	  0.000	2	0	15	2	1	4	0
60	SDSS J010352.17-001553.4	 15.96741 	  -0.26485 	G	   -21	-0.000071 	SPEC	19.7g	  0.000	0	0	15	2	1	4	0
61	SDSS J010429.53+141949.4	 16.12306 	  14.33040 	G	   -18	-0.000060 	SPEC	21.8g	  0.000	0	0	15	2	1	4	0
62	SDSS J010529.86+143008.0	 16.37443 	  14.50224 	G	   -71	-0.000236 	SPEC	21.6g	  0.000	2	0	15	3	2	4	0
63	SDSS J010927.32-004033.6	 17.36384 	  -0.67601 	G	  -308	-0.001029 	SPEC	21.1g	  0.000	2	0	15	2	1	4	0
64	SDSS J011130.28-011424.8	 17.87617 	  -1.24023 	G	   -26	-0.000088 	SPEC	21.8g	  0.000	1	0	15	2	1	4	0
65	SDSS J011137.47-005657.6	 17.90615 	  -0.94934 	G	   -17	-0.000058 	SPEC	22.1g	  0.000	0	0	15	2	1	4	0
66	SDSS J011202.77+001241.7	 18.01157 	   0.21158 	G	  -215	-0.000716 	SPEC	21.5g	  0.000	1	0	15	2	1	4	0
67	SDSS J011542.64+135104.8	 18.92770 	  13.85134 	G	  -261	-0.000872 	SPEC	17.0g	  0.000	1	0	15	2	1	4	0
68	SDSS J011614.45+000014.4	 19.06025 	   0.00403 	G	   -96	-0.000321 	SPEC	20.9g	  0.000	2	0	15	2	1	4	0
