

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.


queryDateTime:2019-10-01T10:19:11PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.	Object Name	RA	DEC	Type	Velocity	Redshift	Redshift Flag	Magnitude and Filter	Separation	References	Notes	Photometry Points	Positions	Redshift Points	Diameter Points	Associations
41	SDSS J004122.00-094156.0	 10.34169 	  -9.69889 	G	264807	 0.883300 	PHOT	19.5g	  0.000	1	0	21	1	1	3	0
42	SDSS J004128.93-092837.2	 10.37057 	  -9.47702 	G	277938	 0.927100 	PHOT	22.7g	  0.000	4	0	21	1	1	4	0
43	SDSS J004218.30+010354.0	 10.57626 	   1.06501 	G	239224	 0.797965 	SPEC	25.7g	  0.000	0	0	15	2	1	4	0
44	SDSS J004220.88-094517.4	 10.58700 	  -9.75484 	G	229221	 0.764600 	PHOT	21.7g	  0.000	4	0	21	1	1	4	0
45	SDSS J004232.43+004417.8	 10.63514 	   0.73830 	G	231560	 0.772400 	:   	21.8g	  0.000	3	0	15	1	1	4	0
46	SDSS J004253.02+143655.9	 10.72095 	  14.61553 	G	227117	 0.757582 	SPEC	21.5g	  0.000	2	0	15	2	1	4	0
47	SDSS J004332.74+141214.4	 10.88643 	  14.20401 	G	257024	 0.857341 	SPEC	21.1g	  0.000	0	0	15	3	2	4	0
48	SDSS J004949.04+141407.6	 12.45435 	  14.23546 	G	231775	 0.773119 	SPEC	21.2g	  0.000	0	0	15	2	1	4	0
49	SDSS J005352.89+000047.6	 13.47038 	   0.01323 	G	266018	 0.887342 	SPEC	22.7g	  0.000	1	0	15	2	1	4	0
50	SDSS J005622.61-005505.6	 14.09424 	  -0.91822 	G	291728	 0.973099 	SPEC	21.5g	  0.000	3	0	15	3	1	4	0
51	SDSS J005745.91+003919.4	 14.44131 	   0.65541 	G	237306	 0.791569 	SPEC	21.4g	  0.000	3	0	15	3	2	4	0
52	SDSS J010024.34+154452.6	 15.10142 	  15.74795 	G	241015	 0.803939 	SPEC	20.8g	  0.000	0	0	15	2	1	3	0
53	SDSS J010130.05+144342.2	 15.37521 	  14.72839 	G	230414	 0.768579 	SPEC	22.7g	  0.000	0	0	15	2	1	4	0
54	SDSS J010505.03-003111.1	 16.27098 	  -0.51976 	G	287437	 0.958786 	SPEC	21.3g	  0.000	4	0	15	2	1	4	0
55	SDSS J010628.02-002627.1	 16.61678 	  -0.44088 	G	225571	 0.752423 	SPEC	22.6g	  0.000	2	0	15	3	2	4	0
56	SDSS J010718.37+144651.2	 16.82656 	  14.78090 	G	235515	 0.785593 	SPEC	22.1g	  0.000	2	0	15	2	1	4	0
57	SDSS J010829.63+011052.1	 17.12348 	   1.18117 	G	233080	 0.777472 	SPEC	22.8g	  0.000	1	0	15	2	1	4	0
58	SDSS J011054.96-002748.5	 17.72987 	  -0.46453 	G	239834	 0.800000 	    	     	  0.000	5	0	0	1	1	0	0
59	SDSS J011111.10+003628.9	 17.79628 	   0.60804 	G	248546	 0.829060 	    	22.4g	  0.000	1	0	15	1	1	4	0
60	SDSS J011348.46+010909.6	 18.45193 	   1.15268 	G	225114	 0.750900 	    	21.8g	  0.000	1	0	15	1	1	4	0
61	SDSS J011355.26+004101.4	 18.48027 	   0.68372 	G	271579	 0.905890 	    	23.7g	  0.000	1	0	15	1	1	3	0
62	SDSS J011430.60+004923.6	 18.62754 	   0.82323 	G	227911	 0.760229 	SPEC	22.4g	  0.000	2	0	15	2	1	4	0
63	SDSS J011450.88+005951.7	 18.71203 	   0.99770 	G	292724	 0.976422 	SPEC	20.4g	  0.000	0	0	15	2	1	3	0
64	SDSS J011455.43+010704.9	 18.73098 	   1.11804 	G	234567	 0.782430 	    	22.8g	  0.000	1	0	15	1	1	4	0
65	SDSS J011519.36+005910.5	 18.83068 	   0.98626 	G	228760	 0.763060 	    	22.3g	  0.000	1	0	15	1	1	3	0
66	SDSS J011601.99+002048.0	 19.00830 	   0.34668 	G	255249	 0.851420 	    	22.8g	  0.000	3	0	15	1	1	4	0
67	SDSS J011749.17+002530.2	 19.45488 	   0.42507 	G	249208	 0.831267 	SPEC	21.3g	  0.000	2	0	15	2	1	4	0
68	SDSS J011940.44-002315.1	 19.91853 	  -0.38755 	G	230620	 0.769267 	SPEC	21.5g	  0.000	2	0	15	2	1	4	0
69	SDSS J012047.52+001520.1	 20.19803 	   0.25561 	G	245076	 0.817484 	SPEC	21.0g	  0.000	4	0	15	2	1	4	0
70	SDSS J012238.75+001520.1	 20.66149 	   0.25560 	G	233384	 0.778486 	SPEC	21.2g	  0.000	2	0	15	2	1	4	0
71	SDSS J012246.99-004226.0	 20.69580 	  -0.70722 	G	232544	 0.775683 	SPEC	21.7g	  0.000	0	0	15	2	1	4	0
72	SDSS J012408.27+134013.7	 21.03447 	  13.67049 	G	235853	 0.786721 	SPEC	22.6g	  0.000	0	0	15	2	1	4	0
73	SDSS J012513.29+000324.4	 21.30539 	   0.05679 	G	246995	 0.823886 	SPEC	22.0g	  0.000	0	0	15	2	1	4	0
74	SDSS J012529.81-000249.2	 21.37423 	  -0.04701 	G	226133	 0.754300 	    	21.7R	  0.000	1	0	16	1	1	4	0
75	SDSS J012858.62+000637.2	 22.24429 	   0.11034 	G	271780	 0.906562 	SPEC	19.4g	  0.000	1	0	15	2	1	3	0
76	SDSS J013338.07+134524.1	 23.40866 	  13.75671 	G	236465	 0.788761 	SPEC	20.7r	  0.000	2	0	15	2	1	4	0
77	SDSS J013341.14+143513.2	 23.42143 	  14.58702 	G	226950	 0.757022 	SPEC	22.9g	  0.000	0	0	15	2	1	4	0
78	SDSS J013406.94+133338.9	 23.52895 	  13.56082 	G	230362	 0.768404 	SPEC	22.2g	  0.000	0	0	15	2	1	4	0
79	SDSS J013531.42-002801.6	 23.88095 	  -0.46713 	G	277068	 0.924198 	SPEC	22.2g	  0.000	3	0	15	2	1	4	0
80	SDSS J013620.16+151051.1	 24.08403 	  15.18088 	G	227834	 0.759971 	SPEC	21.6g	  0.000	1	0	15	3	2	4	0
81	SDSS J013629.12+144706.3	 24.12136 	  14.78510 	G	230063	 0.767409 	SPEC	20.9g	  0.000	0	0	15	2	1	4	0
82	SDSS J014440.58+141616.3	 26.16912 	  14.27122 	G	237803	 0.793225 	SPEC	21.6g	  0.000	0	0	15	2	1	4	0
83	SDSS J015025.96-093850.7	 27.60819 	  -9.64742 	G	253669	 0.846148 	SPEC	22.1g	  0.000	0	0	15	2	1	4	0
84	SDSS J015212.93-081057.1	 28.05389 	  -8.18254 	G	257905	 0.860277 	SPEC	22.5g	  0.000	2	0	15	2	1	4	0
85	SDSS J015330.69-005405.3	 28.37788 	  -0.90149 	G	233785	 0.779824 	SPEC	21.7g	  0.000	4	0	15	2	1	4	0
86	SDSS J015419.06-083016.7	 28.57945 	  -8.50467 	G	265108	 0.884305 	SPEC	23.0g	  0.000	0	0	15	2	1	4	0
87	SDSS J015540.71+001248.1	 28.91966 	   0.21338 	G	279236	 0.931431 	SPEC	19.5g	  0.000	0	0	15	2	1	4	0
88	SDSS J015739.58-010607.4	 29.41493 	  -1.10207 	G	245801	 0.819904 	SPEC	22.2g	  0.000	2	0	15	2	1	4	0
89	SDSS J015811.44-083556.7	 29.54768 	  -8.59911 	G	229355	 0.765046 	SPEC	21.5g	  0.000	2	0	15	2	1	4	0
90	SDSS J015812.54-085831.7	 29.55229 	  -8.97549 	G	238504	 0.795563 	SPEC	22.0g	  0.000	2	0	15	2	1	4	0
91	SDSS J015939.55+134903.0	 29.91480 	  13.81752 	G	225426	 0.751939 	SPEC	22.4g	  0.000	0	0	15	2	1	4	0
92	SDSS J020210.13+002337.7	 30.54223 	   0.39381 	G	245032	 0.817337 	SPEC	21.7g	  0.000	0	0	15	3	2	4	0
93	SDSS J020224.09-093900.3	 30.60039 	  -9.65009 	G	230343	 0.768342 	SPEC	21.6g	  0.000	2	0	15	2	1	4	0
94	SDSS J020226.64+122435.6	 30.61102 	  12.40989 	G	229409	 0.765227 	SPEC	21.4g	  0.000	0	0	15	2	1	4	0
95	SDSS J020405.17+002905.5	 31.02158 	   0.48489 	G	248174	 0.827820 	SPEC	23.1g	  0.000	2	0	15	2	1	4	0
