

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.



queryDateTime:2019-10-14T16:31:01PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
40|SDSS J000540.50+002549.1|  1.41878 |   0.43033 |G|   -34|-0.000115 |SPEC|19.1g|  0.000|0|0|15|2|1|4|0
41|SDSS J000555.16+333621.1|  1.47985 |  33.60587 |*|   -95|-0.000317 |SPEC|     |  0.000|0|0|0|1|1|0|0
42|WISEA J000601.46+103629.8|  1.50596 |  10.60822 |G|  -233|-0.000777 |SPEC|     |  0.000|0|0|27|4|1|2|0
43|WISEA J000609.79-085913.6|  1.54087 |  -8.98700 |!*|   -90|-0.000300 |    |19.18|  0.000|0|0|23|5|1|4|0
44|SDSS J000611.76-084536.6|  1.54902 |  -8.76018 |!*|  -450|-0.001500 |:   |19.50|  0.000|0|0|9|4|1|4|0
45|SDSS J000612.46+154649.8|  1.55195 |  15.78051 |G|    -3|-0.000010 |SPEC|18.5g|  0.000|0|0|15|2|1|4|0
46|SDSS J000639.89-002337.8|  1.66622 |  -0.39386 |G|    -5|-0.000017 |SPEC|20.1g|  0.000|1|0|23|4|1|4|0
47|WISEA J000645.71+003427.1|  1.69044 |   0.57385 |G|    -8|-0.000028 |SPEC|20.19|  0.000|0|0|19|5|1|0|0
48|WISEA J000648.19-091341.4|  1.70064 |  -9.22808 |G|   -51|-0.000169 |SPEC|21.0g|  0.000|2|0|27|3|1|4|0
49|WISEA J000655.07+002959.4|  1.72950 |   0.49989 |G|  -995|-0.003320 |SPEC|20.4g|  0.000|1|0|31|5|2|4|0
50|WISEA J000703.23-005327.3|  1.76353 |  -0.89094 |G| -2376|-0.007925 |SPEC|20.8g|  0.000|1|0|31|5|2|4|0
51|SDSS J000721.58-011511.1|  1.83995 |  -1.25311 |G|   -42|-0.000140 |SPEC|21.1g|  0.000|0|0|15|2|1|4|0
52|WISEA J000730.92-005144.3|  1.87880 |  -0.86229 |G|  -211|-0.000704 |SPEC|19.9g|  0.000|0|0|27|3|1|4|0
53|WISEA J000756.25+002629.1|  1.98446 |   0.44153 |G|   -30|-0.000100 |SPEC|18.6g|  0.000|0|0|26|6|1|4|0
54|WISEA J000800.71-041355.8|  2.00248 |  -4.23204 |G|  -210|-0.000702 |SPEC|19.77|  0.000|0|0|13|4|1|0|0
55|WISEA J000807.36-002636.0|  2.03072 |  -0.44340 |G|   -68|-0.000226 |SPEC|20.1g|  0.000|0|0|24|5|1|4|0
56|WISEA J000844.42-005538.7|  2.18510 |  -0.92741 |G|  -167|-0.000558 |SPEC|21.0g|  0.000|1|0|31|5|2|4|0
57|SDSS J000859.05-063554.3|  2.24592 |  -6.59849 |G|  -132|-0.000441 |SPEC|19.93|  0.000|0|0|4|4|1|0|0
58|WISEA J000907.22+000253.1|  2.28009 |   0.04810 |G|   -67|-0.000224 |SPEC|20.1g|  0.000|0|0|24|5|1|4|0
59|SDSS J000921.03-000829.0|  2.33763 |  -0.14140 |G|   -31|-0.000104 |SPEC|20.3g|  0.000|0|0|15|2|1|4|0
60|WISEA J000921.70+002748.0|  2.34024 |   0.46303 |G|   -44|-0.000147 |SPEC|20.09|  0.000|0|0|26|7|1|0|0
61|WISEA J000939.08-004428.8|  2.41288 |  -0.74135 |G|   -25|-0.000085 |SPEC|20.5g|  0.000|0|0|33|5|2|4|0
62|WISEA J000943.87+004707.7|  2.43310 |   0.78535 |G|    -2|-0.000007 |SPEC|22.0g|  0.000|2|0|27|3|1|4|0
63|SDSS J000948.12-003328.4|  2.45054 |  -0.55791 |G|  -378|-0.001262 |SPEC|21.3g|  0.000|2|0|15|2|1|4|0
64|2MASS J00095242+0043088|  2.46851 |   0.71906 |G|   -73|-0.000243 |SPEC|19.6g|  0.000|0|0|12|4|1|4|0
65|SDSS J000954.63+152456.2|  2.47766 |  15.41563 |G|  -505|-0.001686 |SPEC|21.8g|  0.000|0|0|15|2|1|4|0
66|SDSS J001006.98-000904.0|  2.52910 |  -0.15113 |G|  -194|-0.000647 |SPEC|19.2g|  0.000|0|0|14|5|1|4|0
67|WISEA J001014.49-062009.2|  2.55987 |  -6.33585 |G|   -46|-0.000154 |SPEC|20.16|  0.000|0|0|13|4|1|0|0
68|2MASS J00101524-0751545|  2.56337 |  -7.86510 |G|  -100|-0.000334 |SPEC|19.27|  0.000|0|0|9|5|1|0|0
69|WISEA J001018.52+004650.7|  2.57719 |   0.78078 |G|  -936|-0.003122 |SPEC|20.6g|  0.000|1|0|35|6|2|4|0
70|SDSS J001025.71-003546.0|  2.60717 |  -0.59614 |G| -1168|-0.003895 |SPEC|20.9g|  0.000|1|0|15|3|2|4|0
71|WISEA J001026.34+000544.0|  2.60979 |   0.09559 |G|    -0|-0.000001 |SPEC|18.6g|  0.000|0|0|24|5|1|2|0
72|WISEA J001029.88+003125.9|  2.62446 |   0.52394 |G|   -15|-0.000049 |SPEC|20.1g|  0.000|0|0|35|6|2|4|0
73|WISEA J001032.39-081343.0|  2.63529 |  -8.22914 |G|  -133|-0.000445 |SPEC|20.24|  0.000|0|0|13|4|1|0|0
74|WISEA J001035.00-064513.0|  2.64579 |  -6.75348 |G|   -17|-0.000058 |SPEC|20.24|  0.000|0|0|19|5|1|0|0
75|WISEA J001051.02+001531.9|  2.71254 |   0.25899 |G| -1902|-0.006345 |SPEC|20.5g|  0.000|1|0|45|7|2|4|0
76|WISEA J001055.97+155638.4|  2.73323 |  15.94399 |G|   -40|-0.000132 |SPEC|20.4g|  0.000|0|0|32|4|1|4|0
77|SDSS J001113.83-001552.0|  2.80764 |  -0.26452 |G| -1205|-0.004021 |SPEC|21.9g|  0.000|1|0|15|3|2|4|0
78|SDSS J001121.16-003957.9|  2.83824 |  -0.66598 |G|  -927|-0.003091 |SPEC|22.9g|  0.000|0|0|15|2|1|4|0
79|SDSS J001121.30-080526.8|  2.83921 |  -8.09079 |G|  -133|-0.000443 |SPEC|20.06|  0.000|1|0|1|3|1|0|0
80|WISEA J001121.49-050056.3|  2.84054 |  -5.01619 |G|  -134|-0.000448 |SPEC|19.98|  0.000|1|0|25|5|1|0|0
81|WISEA J001129.64+001143.0|  2.87352 |   0.19544 |G|    -4|-0.000014 |SPEC|21.2g|  0.000|2|0|27|3|1|4|0
82|WISEA J001149.13+323447.5|  2.95415 |  32.58014 |G|  -113|-0.000377 |    |     |  0.000|1|0|12|2|1|0|0
83|WISEA J001153.43-000910.0|  2.97266 |  -0.15280 |G|    -7|-0.000023 |SPEC|17.47|  0.000|3|0|43|7|1|4|0
84|WISEA J001208.92+000804.9|  3.03718 |   0.13476 |G|   -38|-0.000127 |SPEC|19.8g|  0.000|0|0|24|5|1|4|0
85|WISEA J001219.03+023938.5|  3.07865 |   2.66082 |G|  -187|-0.000623 |SPEC|19.70|  0.000|1|0|19|5|1|0|0
86|WISEA J001219.81+010938.5|  3.08276 |   1.16055 |G| -1001|-0.003339 |SPEC|22.2g|  0.000|0|0|27|3|1|4|0
87|WISEA J001224.46-004454.2|  3.10168 |  -0.74831 |G|   -40|-0.000132 |SPEC|19.84|  0.000|0|0|13|4|1|0|0
88|WISEA J001229.10+153133.6|  3.12124 |  15.52596 |G|   -80|-0.000267 |SPEC|22.7g|  0.000|2|0|27|4|2|4|0
89|WISEA J001231.59+193326.9|  3.13175 |  19.55772 |G|  -262|-0.000875 |SPEC|     |  0.000|0|0|27|4|1|2|0
90|2MASS J00123817+0049542|  3.15913 |   0.83185 |*|   -33|-0.000110 |SPEC|20.2g|  0.000|1|0|9|3|1|4|0
91|WISEA J001238.55+010721.7|  3.16065 |   1.12282 |G|    -9|-0.000031 |SPEC|17.7g|  0.000|0|0|24|5|1|4|0
92|WISEA J001244.76+001618.7|  3.18648 |   0.27189 |G|    -9|-0.000030 |SPEC|20.0g|  0.000|0|0|35|5|1|4|0
93|2MASS J00125884+0059210|  3.24519 |   0.98916 |G|    -2|-0.000008 |SPEC|19.4g|  0.000|0|0|21|3|1|4|0
94|WISEA J001314.26-000556.0|  3.30921 |  -0.09901 |G|   -18|-0.000060 |SPEC|18.0g|  0.000|0|0|24|5|1|4|0
95|SDSS J001320.14-002931.8|  3.33392 |  -0.49218 |G|  -157|-0.000525 |SPEC|19.5g|  0.000|0|0|6|3|1|3|0
96|WISEA J001321.39+003605.4|  3.33911 |   0.60151 |G|    -6|-0.000019 |SPEC|16.9g|  0.000|0|0|31|7|1|4|0
97|WISEA J001323.99+010347.9|  3.34982 |   1.06334 |G|   -43|-0.000142 |SPEC|20.7g|  0.000|0|0|31|4|1|4|0
98|WISEA J001353.75+145049.0|  3.47406 |  14.84701 |G|    -7|-0.000024 |SPEC|19.2g|  0.000|1|0|33|4|1|4|0
99|SDSS J001401.12-084606.0|  3.50471 |  -8.76836 |G|  -135|-0.000450 |SPEC|21.5g|  0.000|0|0|15|2|1|4|0
100|WISEA J001403.26+350640.2|  3.51358 |  35.11111 |G|   -75|-0.000251 |SPEC|     |  0.000|0|0|27|4|1|2|0
101|WISEA J001403.54+010406.1|  3.51471 |   1.06837 |G|   -76|-0.000252 |SPEC|19.7g|  0.000|1|0|34|5|1|4|0
102|WISEA J001405.89+002512.2|  3.52456 |   0.42007 |G|    -6|-0.000019 |SPEC|16.8g|  0.000|0|0|31|7|1|3|0
103|WISEA J001416.51-003612.1|  3.56885 |  -0.60330 |G|   -28|-0.000092 |SPEC|22.3g|  0.000|0|0|32|4|1|6|0
104|SDSS J001437.60+001351.3|  3.65670 |   0.23093 |G|  -249|-0.000830 |SPEC|18.2g|  0.000|0|0|6|3|1|4|0
105|WISEA J001441.97-092721.4|  3.67494 |  -9.45607 |G|   -24|-0.000080 |SPEC|22.4g|  0.000|0|0|27|3|1|4|0
106|WISEA J001448.56+324655.5|  3.70233 |  32.78217 |G|    -7|-0.000025 |SPEC|     |  0.000|0|0|27|4|1|2|0
107|SDSS J001454.45-010322.5|  3.72691 |  -1.05625 |G|  -659|-0.002198 |SPEC|17.9g|  0.000|0|0|15|2|1|3|0
108|SDSS J001459.31-000611.4|  3.74714 |  -0.10319 |G|  -147|-0.000491 |SPEC|20.3g|  0.000|1|0|15|2|1|4|0
109|WISEA J001502.94-001926.0|  3.76225 |  -0.32393 |G|   -37|-0.000124 |SPEC|20.9g|  0.000|0|0|24|6|2|4|0
110|WISEA J001504.53-000756.7|  3.76886 |  -0.13224 |G|   -12|-0.000039 |SPEC|21.8g|  0.000|0|0|27|3|1|4|0
111|WISEA J001505.42+011215.8|  3.77260 |   1.20437 |G|    -2|-0.000006 |SPEC|21.5g|  0.000|3|0|17|5|3|4|0
112|WISEA J001515.92-002245.1|  3.81640 |  -0.37921 |G|  -732|-0.002441 |SPEC|18.9g|  0.000|0|0|31|4|1|4|0
113|WISEA J001521.22+143234.8|  3.83844 |  14.54303 |G|   -50|-0.000168 |SPEC|22.3g|  0.000|2|0|27|3|1|4|0
114|WISEA J001541.37-001954.7|  3.92241 |  -0.33188 |G|  -104|-0.000348 |SPEC|19.3g|  0.000|2|0|27|3|1|4|0
115|WISEA J001554.83+181353.8|  3.97846 |  18.23161 |G|   -26|-0.000088 |SPEC|     |  0.000|0|0|24|4|1|2|0
116|WISEA J001602.89-003904.0|  4.01210 |  -0.65117 |G|    -9|-0.000031 |SPEC|20.6g|  0.000|0|0|33|4|1|4|0
117|2MASS J00160844-0043021|  4.03530 |  -0.71730 |G|    -3|-0.000009 |SPEC|19.8g|  0.000|1|0|21|3|1|3|0
118|WISEA J001616.95-000431.6|  4.07069 |  -0.07543 |G|   -28|-0.000095 |SPEC|19.5g|  0.000|0|0|31|4|1|6|0
119|WISEA J001621.98+004308.8|  4.09168 |   0.71898 |G|   -27|-0.000091 |SPEC|21.4g|  0.000|0|0|27|3|1|4|0
120|SDSS J001624.18-105703.6|  4.10078 | -10.95101 |G|  -461|-0.001539 |SPEC|20.4g|  0.000|0|0|15|2|1|4|0
121|WISEA J001630.50-003500.9|  4.12705 |  -0.58359 |G|    -7|-0.000025 |SPEC|17.4g|  0.000|0|0|24|5|1|4|0
122|WISEA J001700.06+003345.7|  4.25026 |   0.56272 |G|  -142|-0.000473 |SPEC|16.4g|  0.000|0|0|27|6|1|4|0
123|SDSS J001700.09-095255.3|  4.25041 |  -9.88205 |G|  -213|-0.000709 |SPEC|20.8g|  0.000|0|0|15|2|1|4|0
124|WISEA J001700.58+010434.9|  4.25241 |   1.07640 |G|   -14|-0.000047 |SPEC|16.0g|  0.000|0|0|24|5|1|4|0
125|WISEA J001712.71+004106.6|  4.30298 |   0.68522 |G|   -16|-0.000052 |SPEC|19.6g|  0.000|0|0|24|5|1|4|0
126|WISEA J001719.14+144123.7|  4.32973 |  14.68998 |G|    -3|-0.000011 |SPEC|17.2g|  0.000|1|0|33|4|1|4|0
127|WISEA J001722.78+000735.4|  4.34480 |   0.12680 |G|   -34|-0.000115 |SPEC|20.14|  0.000|0|0|19|6|2|0|0
128|WISEA J001722.78-105123.3|  4.34534 | -10.85631 |G|  -227|-0.000758 |SPEC|18.2g|  0.000|0|0|26|6|1|4|0
129|SDSS J001727.22-010934.3|  4.36349 |  -1.15955 |G|   -30|-0.000099 |SPEC|20.5g|  0.000|0|0|6|3|1|4|0
130|SDSS J001734.73-002106.5|  4.39474 |  -0.35185 |G|   -54|-0.000181 |SPEC|23.0g|  0.000|1|0|15|2|1|3|0
131|WISEA J001740.44+000340.3|  4.41849 |   0.06125 |G|    -1|-0.000003 |SPEC|19.5g|  0.000|0|0|24|5|1|4|0
132|WISEA J001744.05+005811.4|  4.43349 |   0.96990 |G|  -386|-0.001288 |SPEC|15.8g|  0.000|0|0|32|8|2|4|0
133|WISEA J001745.06+001203.1|  4.43775 |   0.20084 |G|    -6|-0.000019 |SPEC|18.1g|  0.000|0|0|32|7|1|3|0
134|WISEA J001752.49-010146.5|  4.46879 |  -1.02955 |G|   -32|-0.000106 |SPEC|16.6g|  0.000|0|0|24|5|1|4|0
135|WISEA J001755.72+145711.4|  4.48240 |  14.95313 |G|   -75|-0.000251 |SPEC|21.9g|  0.000|0|0|27|3|1|4|0
136|WISEA J001759.57-001510.0|  4.49813 |  -0.25281 |G|   -69|-0.000229 |SPEC|18.6g|  0.000|0|0|32|4|1|4|0
137|SDSS J001802.70+000924.3|  4.51128 |   0.15678 |G|  -176|-0.000586 |SPEC|19.7g|  0.000|1|0|15|2|1|4|0
138|WISEA J001814.20-100530.5|  4.55917 | -10.09200 |G|  -104|-0.000347 |SPEC|21.9g|  0.000|2|0|27|3|1|4|0
139|SDSS J001822.29+134451.8|  4.59289 |  13.74775 |G|   -47|-0.000157 |SPEC|22.3g|  0.000|0|0|15|2|1|4|0
140|WISEA J001822.84+005441.1|  4.59517 |   0.91147 |G|   -19|-0.000062 |SPEC|20.5g|  0.000|0|0|33|4|1|4|0
141|2MASS J00184170+0052572|  4.67379 |   0.88253 |G|   -21|-0.000070 |SPEC|21.3g|  0.000|0|0|21|3|1|4|0
142|WISEA J001846.88+001934.5|  4.69515 |   0.32642 |G|    -1|-0.000004 |SPEC|21.4g|  0.000|0|0|33|4|1|4|0
143|WISEA J001850.23-004157.3|  4.70918 |  -0.69928 |G|   -48|-0.000159 |SPEC|22.5g|  0.000|0|0|32|4|1|6|0
144|SDSS J001855.30-001700.3|  4.73044 |  -0.28342 |G|  -166|-0.000553 |SPEC|21.1g|  0.000|2|0|15|2|1|4|0
