

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.


queryDateTime:2019-09-27T11:15:46PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.	Object Name	RA	DEC	Type	Velocity	Redshift	Redshift Flag	Magnitude and Filter	Separation	References	Notes	Photometry Points	Positions	Redshift Points	Diameter Points	Associations
1	SDSS J000133.50+151214.4	  0.38962 	  15.20401 	G	509800	 1.700511 	SPEC	22.2g	  0.000	2	0	15	2	1	4	0
2	SDSS J000244.80-001950.2	  0.68670 	  -0.33063 	G	341962	 1.140661 	SPEC	22.3g	  0.000	1	0	15	2	1	4	0
3	SDSS J000451.70-010321.1	  1.21545 	  -1.05588 	G	503981	 1.681100 	    	20.4g	  0.000	3	0	16	3	1	4	0
4	SDSS J000520.47+135446.5	  1.33530 	  13.91293 	G	471451	 1.572590 	SPEC	21.3g	  0.000	1	0	15	2	1	4	0
5	SDSS J000730.78-092119.6	  1.87826 	  -9.35546 	G	357526	 1.192577 	SPEC	21.9g	  0.000	0	0	15	2	1	4	0
6	SDSS J000738.51+001244.8	  1.91047 	   0.21246 	G	413014	 1.377667 	SPEC	18.1g	  0.000	2	0	15	2	1	4	0
7	SDSS J0008-0004 bg	  2.01233 	  -0.06894 	G	357353	 1.192000 	    	     	  0.000	2	0	0	0	1	0	0
8	SDSS J001220.48-010013.3	  3.08535 	  -1.00371 	G	318889	 1.063698 	SPEC	22.0g	  0.000	1	0	15	2	1	4	0
9	SDSS J001514.93+003119.3	  3.81221 	   0.52205 	G	317210	 1.058100 	SPEC	23.3g	  0.000	3	0	15	2	1	4	0
10	SDSS J001623.83+140146.0	  4.09933 	  14.02945 	G	567097	 1.891633 	SPEC	21.8g	  0.000	0	0	15	2	1	4	0
11	SDSS J001735.46+140258.0	  4.39778 	  14.04945 	G	343014	 1.144170 	SPEC	21.9g	  0.000	0	0	15	2	1	4	0
12	SDSS J001813.92-090108.2	  4.55802 	  -9.01897 	G	387388	 1.292188 	SPEC	20.9g	  0.000	0	0	15	2	1	4	0
13	SDSS J001841.17+010111.2	  4.67157 	   1.01979 	G	427416	 1.425707 	SPEC	21.0g	  0.000	4	0	15	3	1	4	0
14	SDSS J001921.28-000030.1	  4.83867 	  -0.00839 	G	340052	 1.134292 	SPEC	22.7g	  0.000	1	0	15	2	1	4	0
15	SDSS J002433.93-005350.6	  6.14141 	  -0.89742 	G	300867	 1.003585 	SPEC	24.4g	  0.000	1	0	15	2	1	4	0
16	SDSS J002438.06+142822.3	  6.15862 	  14.47288 	G	366346	 1.222000 	SPEC	22.3g	  0.000	2	0	15	2	1	4	0
17	SDSS J002723.76+155733.5	  6.84901 	  15.95933 	G	332932	 1.110543 	SPEC	22.0g	  0.000	0	0	15	2	1	4	0
18	SDSS J002731.08+214246.7	  6.87942 	  21.71306 	G	318979	 1.064000 	    	     	  0.000	7	0	0	1	0	0	0
19	SDSS J003434.19+005817.0	  8.64247 	   0.97141 	G	558173	 1.861864 	SPEC	21.3g	  0.000	1	0	15	2	1	4	0
20	SDSS J003650.59-005421.2	  9.21081 	  -0.90590 	G	372216	 1.241578 	SPEC	21.5g	  0.000	2	0	15	3	2	4	0
21	SDSS J003731.92-004859.8	  9.38302 	  -0.81663 	G	317933	 1.060510 	SPEC	22.1g	  0.000	0	0	15	2	1	3	0
22	SDSS J003925.98+000946.1	  9.85826 	   0.16282 	G	400007	 1.334280 	SPEC	21.0g	  0.000	0	0	15	2	1	4	0
23	SDSS J004045.79-093929.2	 10.19080 	  -9.65812 	G	321497	 1.072400 	PHOT	25.8g	  0.000	1	0	21	1	1	4	0
24	SDSS J004153.71+001624.3	 10.47381 	   0.27343 	G	388022	 1.294303 	SPEC	22.6g	  0.000	2	0	15	2	1	4	0
25	SDSS J004258.09+002809.4	 10.74205 	   0.46930 	G	430596	 1.436313 	SPEC	22.0g	  0.000	3	0	15	3	2	4	0
26	SDSS J004414.89+005817.4	 11.06206 	   0.97152 	G	381091	 1.271183 	SPEC	22.6g	  0.000	0	0	15	2	1	4	0
