

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.



queryDateTime:2019-10-13T19:35:44PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
41|SDSS J000317.57-011107.7|  0.82321 |  -1.18548 |G|347759| 1.160000 |PHOT|21.9g|  0.000|1|0|21|2|1|3|0
42|WISEA J000329.75+020047.7|  0.87388 |   2.01326 |G|675417| 2.252948 |SPEC|20.32|  0.000|7|0|12|4|2|0|0
43|SDSS J000329.96+010534.0|  0.87486 |   1.09280 |G|481379| 1.605706 |SPEC|21.7g|  0.000|4|0|19|4|2|4|0
44|[HB89] 0000-001|  0.87580 |   0.13701 |QSO|776101| 2.588793 |    |18.8i|  0.000|37|1|18|10|14|4|0
45|SDSS J000334.86-002352.3|  0.89526 |  -0.39789 |G|320778| 1.070000 |PHOT|21.3g|  0.000|1|0|25|3|1|4|0
46|WISEA J000340.75+003106.8|  0.91947 |   0.51838 |G|350757| 1.170000 |PHOT|21.6g|  0.000|1|0|37|4|1|4|0
47|PKS 0001-114|  0.93847 | -11.13850 |QSO|469729| 1.566847 |    |19.9g|  0.000|38|0|46|11|15|8|1
48|WISEA J000349.08+001159.9|  0.95449 |   0.19990 |G|314782| 1.050000 |PHOT|21.4g|  0.000|1|0|37|4|1|4|0
49|SDSS J000351.72+004332.7|  0.96553 |   0.72576 |G|368745| 1.230000 |PHOT|19.4g|  0.000|1|0|25|3|1|4|0
50|WISEA J000402.28+005754.2|  1.00945 |   0.96506 |G|593243| 1.978847 |SPEC|21.5g|  0.000|4|0|27|4|2|4|0
51|WISEA J000406.57+010000.4|  1.02715 |   1.00011 |G|359751| 1.200000 |PHOT|21.0g|  0.000|1|0|37|4|1|4|0
52|WISEA J000415.84-110113.4|  1.06600 | -11.02043 |G|667038| 2.225000 |PHOT|19.90|  0.000|4|0|18|3|2|4|0
53|SDSS J000426.42+005703.6|  1.11011 |   0.95101 |G|843286| 2.812900 |    |20.9g|  0.000|8|0|23|9|6|4|0
54|SDSS J000444.55-005226.1|  1.18565 |  -0.87393 |G|431701| 1.440000 |PHOT|21.7g|  0.000|1|0|25|3|1|4|0
55|SDSS J000450.67-084449.4|  1.21114 |  -8.74707 |QSO|898778| 2.998000 |    |20.9g|  0.000|2|0|6|3|2|4|0
56|SDSS J000451.70-010321.1|  1.21545 |  -1.05588 |G|503981| 1.681100 |    |20.4g|  0.000|3|0|16|3|1|4|0
57|SDSS J000455.17-002131.0|  1.22989 |  -0.35863 |G|853523| 2.847047 |SPEC|21.5g|  0.000|5|0|15|3|2|4|0
58|WISEA J000509.99-064045.2|  1.29158 |  -6.67928 |G|752488| 2.510030 |    |18.9b|  0.000|1|0|18|5|2|0|0
59|SDSS J000512.62-000402.5|  1.30261 |  -0.06738 |G|761406| 2.539777 |SPEC|22.0g|  0.000|6|0|15|4|3|4|0
60|SDSS J000515.51+150614.6|  1.31464 |  15.10408 |G|667442| 2.226347 |SPEC|21.7g|  0.000|0|0|15|2|1|4|0
61|SDSS J000516.08+004603.4|  1.31701 |   0.76763 |G|398724| 1.330000 |PHOT|22.1g|  0.000|1|0|25|3|1|4|0
62|WISEA J000520.46+135446.5|  1.33530 |  13.91293 |G|471451| 1.572590 |SPEC|21.3g|  0.000|1|0|27|3|1|4|0
63|SDSS J000540.54-010453.0|  1.41894 |  -1.08141 |G|1071030| 3.572572 |SPEC|22.2g|  0.000|5|0|15|4|3|4|0
64|SDSS J000554.03+003041.9|  1.47515 |   0.51171 |G|1240805| 4.138880 |SPEC|22.3g|  0.000|6|0|5|4|3|4|0
65|SDSS J000555.90-100213.3|  1.48294 | -10.03709 |WD*|387701| 1.293230 |SPEC|17.7g|  0.000|3|0|11|5|2|4|0
66|WISEA J000602.20+255231.4|  1.50921 |  25.87539 |QSO|536269| 1.788800 |    |19.3g|  0.000|12|0|18|8|5|0|0
67|SDSS J000620.70+000620.7|  1.58629 |   0.10577 |G|728874| 2.431263 |SPEC|22.3g|  0.000|4|0|15|3|2|4|0
68|FBQS J0006-0004|  1.59412 |  -0.07353 |QSO|310995| 1.037367 |    |19.5i|  0.000|203|0|111|24|18|4|0
69|WISEA J000624.02+011256.5|  1.60018 |   1.21576 |G|472173| 1.575000 |PHOT|20.29|  0.000|5|0|26|6|3|4|0
70|SDSS J000647.25+010213.7|  1.69689 |   1.03715 |G|639701| 2.133814 |SPEC|21.4g|  0.000|4|0|18|4|2|4|0
71|WISEA J000647.59-095126.5|  1.69842 |  -9.85719 |G|412215| 1.375000 |PHOT|20.21|  0.000|4|0|24|5|2|4|0
72|LBQS 0004-0032|  1.72546 |  -0.25927 |QSO|516355| 1.722373 |    |18.4g|  0.000|68|2|55|21|28|8|0
73|WISEA J000658.25+005840.0|  1.74269 |   0.97781 |G|469819| 1.567147 |SPEC|20.7g|  0.000|1|0|27|4|2|4|0
74|UM 201|  1.79136 |   0.31507 |QSO|430524| 1.436072 |    |18.6g|  0.000|39|0|48|10|19|8|0
75|SDSS J000710.41-100859.4|  1.79341 | -10.14983 |G|367246| 1.225000 |PHOT|19.75|  0.000|4|0|13|4|2|4|0
76|WISEA J000723.99-002338.0|  1.84998 |  -0.39383 |G|1703482| 5.682204 |SPEC|22.0g|  0.000|2|0|27|3|1|4|0
77|WISEA J000730.76-092119.2|  1.87826 |  -9.35546 |G|357526| 1.192577 |SPEC|21.9g|  0.000|0|0|27|3|1|4|0
78|SDSS J000735.55+010230.2|  1.89815 |   1.04175 |UvES|652049| 2.175000 |PHOT|20.8r|  0.000|1|0|15|1|1|3|0
79|SDSS J000738.51+001244.8|  1.91047 |   0.21246 |G|413014| 1.377667 |SPEC|18.1g|  0.000|2|0|15|2|1|4|0
80|WISEA J000738.55-001751.1|  1.91070 |  -0.29762 |G|669286| 2.232497 |SPEC|22.0g|  0.000|5|0|27|5|3|4|0
81|WISEA J000802.39+143326.0|  2.01006 |  14.55723 |G|1753370| 5.848613 |SPEC|21.7g|  0.000|0|0|27|3|1|4|0
82|SDSS J0008-0004 bg|  2.01233 |  -0.06894 |G|357353| 1.192000 |    |     |  0.000|2|0|0|1|1|0|0
83|UM 203|  2.03139 |   0.27195 |QSO|442634| 1.476467 |    |19.1g|  0.000|49|0|39|11|22|8|0
84|WISEA J000826.37+011340.4|  2.10990 |   1.22780 |G|379978| 1.267469 |SPEC|21.6g|  0.000|1|0|35|6|2|4|0
85|WISE J000903.93+062821.2|  2.26638 |   6.47257 |G|468464| 1.562629 |SPEC|21.4O|  0.000|52|0|34|14|2|0|0
86|WISEA J000904.95-093829.0|  2.27072 |  -9.64139 |G|384714| 1.283268 |SPEC|22.4g|  0.000|2|0|31|4|1|4|0
87|SDSS J000917.51-002136.1|  2.32298 |  -0.36003 |G|1153033| 3.846104 |SPEC|20.3g|  0.000|1|0|15|2|1|4|0
88|WISEA J000919.97-094809.0|  2.33317 |  -9.80258 |G|1676925| 5.593618 |SPEC|20.0g|  0.000|0|0|27|3|1|4|0
89|WISEA J000925.23-005603.1|  2.35509 |  -0.93419 |G|945136| 3.152634 |SPEC|21.0g|  0.000|5|0|31|6|3|4|0
90|SDSS J000931.21+004137.3|  2.38006 |   0.69370 |G|722067| 2.408555 |SPEC|21.5g|  0.000|6|0|15|3|2|4|0
