"OBJID","RA","DEC","NVOTE","P_EL","P_CW","P_ACW","P_EDGE","P_DK","P_MG","P_CS","P_EL_DEBIASED","P_CS_DEBIASED","SPIRAL","ELLIPTICAL","UNCERTAIN","RA_deg","DEC_deg","ra","dec","u","g","r","i","z","run","rerun","camcol","field","petroRad_r"
"588017725478993938","13:03:41.39","+07:30:56.5","30","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","1","0","195.9224583333333","7.515694444444445","195.92245504","7.51569975","16.919254000000002","14.942677999999999","14.047835000000001","13.613166","13.305225","3841","41","4","207","13.878148999999999"
"588007004715942014","13:03:43.42","+64:29:09.7","39","0.9740000000000001","0.0","0.0","0.026000000000000002","0.0","0.0","0.026000000000000002","0.96","0.04","0","1","0","195.93091666666666","64.48602777777778","195.9309541","64.48601022","20.423994","18.262709","16.953241000000002","16.454233","16.119822","1345","41","3","393","5.628457"
"587742576446865524","13:03:46.12","+19:20:44.6","20","0.95","0.0","0.0","0.05","0.0","0.0","0.05","0.95","0.05","0","1","0","195.94216666666668","19.34572222222222","195.94214225","19.34571842","19.406026999999998","17.556068","16.686365","16.286171","15.956575","5314","40","3","125","3.3429230000000003"
"587742576446865535","13:03:46.59","+19:16:17.5","26","0.9620000000000001","0.0","0.0","0.0","0.038","0.0","0.0","0.9620000000000001","0.0","0","1","0","195.94412499999996","19.271527777777777","195.94413581","19.2715225","16.937119","14.927356","13.978712","13.534297","13.198563","5314","40","3","125","22.54805"
"588017948281864293","13:03:46.82","+41:58:11.5","23","0.9570000000000001","0.0","0.0","0.043","0.0","0.0","0.043","0.9570000000000001","0.043","0","1","0","195.94508333333334","41.96986111111111","195.94508802","41.96986628","18.229733","16.412714","15.570239","15.166503","14.851360999999999","3893","41","3","229","5.3626830000000005"
"587733195160420369","13:03:49.65","+53:28:19.5","24","0.958","0.042","0.0","0.0","0.0","0.0","0.042","0.958","0.042","0","1","0","195.956875","53.47208333333333","195.95680843","53.47204881","18.306988","16.436352","15.622310999999998","15.209252","14.909676000000001","3130","40","1","62","4.540627"
"587735695372648596","13:03:49.80","+56:13:34.6","29","0.966","0.0","0.034","0.0","0.0","0.0","0.034","0.966","0.034","0","1","0","195.95750000000004","56.226277777777774","195.95753059","56.22628374","20.701118","18.567921","17.304045000000002","16.800217","16.447262","3712","40","2","129","6.607597999999999"
"587741603110060099","13:03:50.80","+27:59:18.2","31","0.935","0.032","0.0","0.0","0.032","0.0","0.032","0.934","0.033","0","1","0","195.96166666666667","27.98838888888889","195.96165386","27.98836756","16.842529000000003","15.004793","14.2064","13.827110000000001","13.521554","5087","40","6","280","9.140819"
"588017112373133457","13:03:51.10","+47:59:40.3","22","0.955","0.0","0.0","0.045","0.0","0.0","0.045","0.9359999999999999","0.064","0","1","0","195.96291666666667","47.994527777777776","195.96289313","47.99450667","19.355801","17.291933","16.211123999999998","15.750274","15.383873999999999","3698","41","6","218","6.606896000000001"
"587742775102210149","13:03:53.24","+17:44:57.8","25","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","1","0","195.97183333333334","17.749388888888888","195.97182064","17.74939268","19.192107999999998","17.255814","16.329809","15.884799","15.584129","5360","40","5","325","6.482069999999999"
"587726016686522533","13:04:01.68","+03:32:17.2","25","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","1","0","196.00699999999998","3.538111111111111","196.00701830000003","3.53812151","20.082424","18.000853","16.740955","16.25774","15.885898999999998","1458","40","6","475","8.298449"
"587724648190312560","13:04:02.35","-03:20:22.5","23","0.9570000000000001","0.0","0.0","0.0","0.043","0.0","0.0","0.9570000000000001","0.0","0","1","0","196.00979166666667","-3.3395833333333336","196.00979061","-3.33956779","18.35799","16.382374","15.416125","15.013565","14.657748000000002","1140","40","1","288","6.976624"
