"OBJID","RA","DEC","NVOTE","P_EL","P_CW","P_ACW","P_EDGE","P_DK","P_MG","P_CS","P_EL_DEBIASED","P_CS_DEBIASED","SPIRAL","ELLIPTICAL","UNCERTAIN","RA_deg","DEC_deg","ra","dec","u","g","r","i","z","run","rerun","camcol","field","petroRad_r"
"587735661010550912","09:43:17.72","+34:35:50.5","36","0.027999999999999997","0.0","0.0","0.972","0.0","0.0","0.972","0.009","0.991","1","0","0","145.82383333333334","34.59736111111111","145.82385155","34.59736857","19.506287","17.63652","16.73131","16.259645000000003","15.87149","3704","40","2","93","5.313458"
"587735044156489873","09:43:20.91","+38:23:31.2","31","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","1.0","1","0","0","145.83712500000001","38.392","145.83713934","38.39199661","19.286964","18.126305","17.594528","17.306156","17.208095999999998","3560","40","5","255","9.317515"
"588016892782706877","09:43:26.52","+36:14:14.5","34","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","1","0","0","145.86049999999997","36.23736111111111","145.86048399","36.23736608","17.255768","15.878554999999999","15.190737","14.853216","14.597612","3647","41","5","62","11.112958"
"587739114709647516","09:43:33.74","+30:29:59.1","37","0.081","0.027000000000000003","0.0","0.892","0.0","0.0","0.919","0.015","0.985","1","0","0","145.89058333333332","30.49975","145.89056509","30.49973016","20.144831","18.641357","17.720682","17.244034","16.93339","4508","40","3","223","7.223969"
"587726032770498912","09:43:40.70","+02:05:00.3","53","0.057","0.0","0.019","0.925","0.0","0.0","0.943","0.012","0.988","1","0","0","145.91958333333332","2.0834166666666665","145.91959097","2.08341089","19.986353","18.615654","17.670668","17.140176999999998","16.702248","1462","40","4","137","7.926092999999999"
"587732578303672498","09:43:42.29","+05:53:54.9","28","0.036000000000000004","0.0","0.9640000000000001","0.0","0.0","0.0","0.9640000000000001","0.007","0.993","1","0","0","145.92620833333334","5.898583333333334","145.92618337","5.89857611","19.007053","17.546999","16.712275","16.312986","16.004129000000002","2986","40","4","183","6.506118"
"588010357997568315","09:43:43.73","+02:56:59.5","58","0.034","0.017","0.017","0.9309999999999999","0.0","0.0","0.966","0.008","0.992","1","0","0","145.93220833333334","2.9498611111111113","145.93219971","2.94986942","20.644051","18.224525","17.229025","16.674335","16.241028","2126","41","1","178","9.919566"
"588009366938517654","09:43:43.76","+56:01:35.9","18","0.055999999999999994","0.0","0.055999999999999994","0.889","0.0","0.0","0.9440000000000001","0.012","0.988","1","0","0","145.93233333333336","56.02663888888889","145.93224546","56.02663917","19.239792","18.062506","17.587248000000002","17.27833","17.152859","1895","41","3","249","7.228621"
"587745404151201945","09:43:45.74","+14:40:48.0","33","0.0","0.0","0.03","0.97","0.0","0.0","1.0","0.0","1.0","1","0","0","145.94058333333334","14.68","145.94057171","14.67999259","18.382292","17.372513","16.96921","16.723768","16.579218","5972","40","6","205","11.90855"
"588016892782706769","09:43:46.12","+36:10:45.7","35","0.0","0.971","0.028999999999999998","0.0","0.0","0.0","1.0","0.0","1.0","1","0","0","145.94216666666668","36.17936111111111","145.94217866","36.17936577","16.184053","14.447054999999999","13.725575","13.342279000000001","13.076985","3647","41","5","62","25.920689000000003"
"587742567854768331","09:43:46.87","+15:41:25.9","34","0.028999999999999998","0.0","0.0","0.971","0.0","0.0","0.971","0.008","0.992","1","0","0","145.9452916666667","15.690527777777778","145.94530659999998","15.69052298","19.716166","18.156492","17.479086","17.117345999999998","16.820629","5312","40","3","92","6.9974419999999995"
"587741709945012444","09:43:46.93","+22:51:26.8","68","0.028999999999999998","0.0","0.971","0.0","0.0","0.0","0.971","0.01","0.99","1","0","0","145.94554166666666","22.857444444444443","145.94552554","22.85745352","18.460445","17.278181","16.714956","16.333548999999998","16.158201000000002","5112","40","5","244","8.908887"
"587745245237018806","09:43:49.47","+16:48:13.7","56","0.018000000000000002","0.0","0.946","0.036000000000000004","0.0","0.0","0.982","0.006","0.9940000000000001","1","0","0","145.95612500000001","16.803805555555556","145.95610728","16.80379219","19.15847","17.887892","17.224729999999997","16.842254999999998","16.572763000000002","5935","40","6","199","5.574218"
"587745243626274945","09:43:50.05","+15:21:46.2","27","0.07400000000000001","0.0","0.037000000000000005","0.889","0.0","0.0","0.9259999999999999","0.015","0.985","1","0","0","145.9585416666667","15.362833333333333","145.95854387","15.36281987","19.822004","18.400465","17.712217000000003","17.348433","17.076073","5935","40","3","197","6.865703999999999"
"587739114172711073","09:43:53.70","+30:03:21.2","70","0.057","0.013999999999999999","0.057","0.871","0.0","0.0","0.943","0.012","0.988","1","0","0","145.97375","30.055888888888887","145.97376265","30.05587447","19.99675","18.223372","17.314655","16.821304","16.466103","4508","40","2","222","8.258357"
"587739407841296534","09:43:55.49","+29:06:56.7","28","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","1","0","0","145.9812083333333","29.11575","145.98121756","29.11574364","17.682989000000003","16.342160999999997","15.796273000000001","15.508094","15.282026","4576","40","5","225","11.847068"
