"OBJID","RA","DEC","NVOTE","P_EL","P_CW","P_ACW","P_EDGE","P_DK","P_MG","P_CS","P_EL_DEBIASED","P_CS_DEBIASED","SPIRAL","ELLIPTICAL","UNCERTAIN","RA_deg","DEC_deg","ra","dec","u","g","r","i","z","run","rerun","camcol","field","petroRad_r"
"587727214422065590","21:39:22.10","-07:12:15.1","32","0.938","0.0","0.0","0.031","0.031","0.0","0.031","0.935","0.034","0","1","0","324.84208333333333","-7.204194444444444","324.84207664","-7.20419758","20.168634","18.274956","16.92823","16.367977","15.952054","1737","40","5","117","5.547655000000001"
"587730772799979848","21:39:54.19","+10:21:51.7","50","0.96","0.0","0.0","0.02","0.02","0.0","0.02","0.9309999999999999","0.048","0","1","0","324.9757916666667","10.364361111111112","324.97580534","10.364348399999999","18.601696","16.793673000000002","15.862143","15.406754999999999","15.050244000000001","2566","40","1","79","6.696267999999999"
"587727212811583857","21:39:59.14","-08:20:19.6","33","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","1","0","324.9964166666667","-8.338777777777779","324.99642082","-8.33878106","20.266648999999997","18.170885000000002","16.759489000000002","16.22541","15.792186","1737","40","2","119","7.530672999999999"
"587730774410723878","21:40:38.72","+11:43:22.0","30","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","1","0","325.16133333333335","11.722777777777777","325.16131807","11.72276791","18.885666","16.877283","15.896734","15.460327","15.108692000000001","2566","40","4","81","5.9588980000000005"
"587726878342054204","21:41:26.27","-07:51:04.2","21","0.9520000000000001","0.0","0.0","0.048","0.0","0.0","0.048","0.9520000000000001","0.048","0","1","0","325.35945833333335","-7.851166666666667","325.35944147","-7.851168400000001","18.294369","16.420742","15.541209","15.124075","14.769067000000001","1659","40","3","135","5.122221"
"587730847966560281","21:41:28.62","+00:36:29.8","30","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","1","0","325.36924999999997","0.6082777777777778","325.36924356","0.60826632","18.506216000000002","16.601501000000003","15.719939000000002","15.29737","14.965720000000001","2583","40","5","150","5.330873"
"587726878878925127","21:41:36.96","-07:22:37.3","29","0.966","0.0","0.0","0.0","0.034","0.0","0.0","0.966","0.0","0","1","0","325.404","-7.377027777777778","325.40398442","-7.37701805","19.94021","17.882607999999998","16.704535","16.227145999999998","15.859517000000002","1659","40","4","135","8.061866"
"587727213885456784","21:41:39.59","-07:38:44.4","30","0.9329999999999999","0.0","0.0","0.0","0.033","0.033","0.0","0.9329999999999999","0.0","0","1","0","325.41495833333335","-7.645666666666667","325.41494317","-7.64566621","21.480829","19.168936","17.659828","17.111414","16.787823","1737","40","4","121","5.043678"
"587727212811780355","21:41:41.77","-08:23:59.0","19","0.9470000000000001","0.0","0.0","0.0","0.053","0.0","0.0","0.9470000000000001","0.0","0","1","0","325.4240416666667","-8.399722222222222","325.42406093","-8.39973125","20.507893","18.706057","17.528060999999997","17.037912","16.673023","1737","40","2","122","6.7746960000000005"
"587727214959198470","21:41:53.75","-06:42:31.8","26","0.9620000000000001","0.0","0.0","0.038","0.0","0.0","0.038","0.9620000000000001","0.038","0","1","0","325.4739583333333","-6.708833333333334","325.47394218","-6.70883626","16.210222","14.293851","13.396194","12.940607","12.620561","1737","40","6","121","19.071066000000002"
"587727214959198526","21:41:59.66","-06:46:19.3","31","0.968","0.0","0.0","0.0","0.032","0.0","0.0","0.968","0.0","0","1","0","325.49858333333333","-6.772027777777778","325.49860038","-6.77203621","17.784771","15.823135999999998","14.908197","14.479643","14.153248999999999","1737","40","6","121","9.675638000000001"
"587727213348716823","21:42:25.75","-08:02:36.2","23","0.9570000000000001","0.0","0.0","0.0","0.043","0.0","0.0","0.9570000000000001","0.0","0","1","0","325.6072916666667","-8.043388888888888","325.60728741","-8.0433897","20.252485","18.487820000000003","17.449806","16.990232000000002","16.60541","1737","40","3","123","4.127235"
"587726879952732487","21:42:26.89","-06:35:12.4","37","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","1","0","325.61204166666664","-6.586777777777778","325.61205473","-6.58676874","17.946749","15.913801000000001","14.928861999999999","14.490085999999998","14.121567","1659","40","6","136","13.512913000000001"
"587726877805314522","21:42:32.61","-08:23:34.1","31","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","1","0","325.635875","-8.392805555555556","325.63586960000004","-8.39278853","18.503901000000003","16.548847","15.610059","15.178014000000001","14.808428","1659","40","2","137","8.706137"
