"OBJID","RA","DEC","NVOTE","P_EL","P_CW","P_ACW","P_EDGE","P_DK","P_MG","P_CS","P_EL_DEBIASED","P_CS_DEBIASED","SPIRAL","ELLIPTICAL","UNCERTAIN","RA_deg","DEC_deg","ra","dec","u","g","r","i","z","run","rerun","camcol","field","petroRad_r"
"588017726541398160","11:19:11.14","+08:15:39.9","31","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","1","0","169.79641666666666","8.261083333333334","169.79640308","8.26106866","18.01763","16.007095","15.054173","14.598849","14.278992","3841","41","6","34","11.477592"
"588009371761901674","11:19:11.30","+61:46:42.2","37","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","1","0","169.79708333333335","61.77838888888889","169.79706141","61.77839385","19.299839000000002","17.342684","16.257795","15.831769","15.474557999999998","1896","41","4","120","9.644308"
"588297864728150101","11:19:11.45","+46:41:47.9","29","0.9309999999999999","0.0","0.0","0.0","0.069","0.0","0.0","0.9309999999999999","0.0","0","1","0","169.7977083333333","46.69663888888889","169.79767047","46.69662507","20.573717000000002","18.675928","17.487451999999998","16.951441","16.544601","3530","42","4","318","5.935541000000001"
"588017724930785404","11:19:13.55","+07:01:05.3","31","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","1","0","169.80645833333335","7.018138888888889","169.80643733","7.01812369","19.164162","17.106237","15.921384","15.435439","15.051779000000002","3841","41","3","34","9.963683"
"588017704536768530","11:19:15.47","+12:48:37.7","29","0.966","0.034","0.0","0.0","0.0","0.0","0.034","0.966","0.034","0","1","0","169.81445833333333","12.810472222222222","169.81446064","12.81047278","18.815504","16.787445","15.724120000000001","15.258320000000001","14.901176000000001","3836","41","5","142","12.055855000000001"
"587732771586900165","11:19:16.24","+09:44:09.0","32","0.9690000000000001","0.0","0.0","0.031","0.0","0.0","0.031","0.9590000000000001","0.040999999999999995","0","1","0","169.81766666666667","9.735833333333334","169.81765055","9.73583804","19.64082","17.474382000000002","16.44545","16.03175","15.656286999999999","3031","40","4","331","8.392349000000001"
"587739407313535061","11:19:16.91","+34:07:42.4","32","0.9690000000000001","0.0","0.031","0.0","0.0","0.0","0.031","0.951","0.049","0","1","0","169.82045833333333","34.12844444444445","169.82046047","34.12843354","16.778843","14.886003","14.068542","13.65576","13.370085999999999","4576","40","4","364","9.79677"
"587733079735402657","11:19:18.13","+53:20:55.5","25","0.96","0.0","0.0","0.0","0.0","0.04","0.0","0.96","0.0","0","1","0","169.82554166666665","53.34875","169.82552712","53.34872631","19.705141","17.662542000000002","16.630592","16.159594","15.811604999999998","3103","40","2","96","5.986388"
"587739406776664198","11:19:20.94","+33:43:58.9","27","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","1","0","169.83725","33.73302777777778","169.83725","33.733017600000004","19.870720000000002","17.823631","16.772438","16.322292","15.960367999999999","4576","40","3","364","6.169871"
"588848898834497653","11:19:21.82","-00:57:00.3","38","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","1","0","169.84091666666666","-0.9500833333333334","169.84091418","-0.95006731","18.497792999999998","16.606993","15.701023000000001","15.262067000000002","14.949004","756","44","1","361","6.593925"
"587738618099466399","11:19:23.57","+37:26:57.7","37","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","1","0","169.84820833333333","37.44936111111111","169.84821217","37.44935171","19.470287","17.341798999999998","16.343491","15.919645999999998","15.580841","4392","40","6","153","6.008968"
"587735347494977758","11:19:24.26","+13:52:13.1","31","0.968","0.032","0.0","0.0","0.0","0.0","0.032","0.941","0.059000000000000004","0","1","0","169.85108333333332","13.870305555555555","169.85109540000002","13.87029159","18.170372","16.288598999999998","15.398873000000002","14.98175","14.637567","3631","40","2","353","7.478267999999999"
"587731499189600389","11:19:24.26","+55:47:19.0","24","0.958","0.0","0.0","0.042","0.0","0.0","0.042","0.9470000000000001","0.053","0","1","0","169.85108333333332","55.78861111111111","169.85107923","55.78860648","18.820889","17.010866","16.183355","15.782547000000001","15.482510999999999","2735","40","2","129","5.449056"
"587729153595605082","11:19:24.30","+63:16:10.8","33","0.97","0.0","0.0","0.03","0.0","0.0","0.03","0.97","0.03","0","1","0","169.85125000000002","63.269666666666666","169.85130481","63.26963004","18.864498","16.87167","15.859974","15.443105","15.10585","2189","40","1","53","9.355134"
"587731870705320132","11:19:25.87","+55:15:34.3","27","0.963","0.037000000000000005","0.0","0.0","0.0","0.0","0.037000000000000005","0.9279999999999999","0.07200000000000001","0","1","0","169.85779166666669","55.25952777777778","169.85778258","55.25951109","19.131235","17.231373","16.228701","15.809482000000001","15.445481","2821","40","6","145","7.7793339999999995"
"587728309639774398","11:19:27.73","+03:06:32.6","19","0.9470000000000001","0.0","0.053","0.0","0.0","0.0","0.053","0.9390000000000001","0.061","0","1","0","169.86554166666667","3.1090555555555555","169.86555519","3.10906924","19.597996","17.623676","16.518362","16.069817999999998","15.734415","1992","40","5","133","6.511141"
"587726031707242532","11:19:29.44","+01:37:10.6","63","0.968","0.0","0.0","0.016","0.016","0.0","0.016","0.965","0.019","0","1","0","169.87266666666667","1.6196111111111111","169.87265198","1.61960728","17.569611","15.544316","14.645295","14.196929999999998","13.858346","1462","40","2","297","7.081325"
"587741830196035679","11:19:30.00","+24:59:21.6","30","0.9670000000000001","0.0","0.0","0.0","0.033","0.0","0.0","0.9670000000000001","0.0","0","1","0","169.875","24.989333333333335","169.87499979","24.98932332","16.501617","14.661329","13.83805","13.431","13.142182","5140","40","5","121","9.184333"
"588010358544924919","11:19:30.87","+04:19:32.7","67","0.94","0.0","0.0","0.015","0.045","0.0","0.015","0.938","0.017","0","1","0","169.878625","4.32575","169.87863164","4.32573837","19.869318","17.695086","16.49736","16.032047","15.657017000000002","2126","41","2","338","7.4685880000000004"
"587741490372477069","11:19:33.01","+29:09:58.7","57","0.9470000000000001","0.0","0.018000000000000002","0.035","0.0","0.0","0.053","0.9470000000000001","0.053","0","1","0","169.88754166666666","29.166305555555557","169.88752349","29.16630485","18.650112","16.747517000000002","15.860538","15.429051999999999","15.090575","5061","40","4","361","4.802672"
"587729153595605104","11:19:33.15","+63:17:16.6","65","0.9540000000000001","0.015","0.031","0.0","0.0","0.0","0.046","0.9540000000000001","0.046","0","1","0","169.888125","63.28794444444444","169.8881801","63.28790325","19.087467","16.974907","15.79095","15.324264999999999","14.967912","2189","40","1","53","13.298627999999999"
"587722982272532588","11:19:33.93","-00:38:15.8","25","0.96","0.0","0.0","0.0","0.04","0.0","0.0","0.96","0.0","0","1","0","169.89137499999998","-0.6377222222222223","169.89137685","-0.63772992","20.161379","18.087313","17.162176000000002","16.708488","16.384068","752","40","2","176","4.686843"
"587741490372477075","11:19:34.55","+29:10:59.7","31","0.968","0.0","0.0","0.0","0.032","0.0","0.0","0.968","0.0","0","1","0","169.89395833333333","29.18325","169.89393768","29.18324616","17.058267999999998","14.973895","14.069935000000001","13.645110999999998","13.307497","5061","40","4","361","16.106827"
"588017703463026864","11:19:35.65","+12:04:35.7","27","0.963","0.0","0.037000000000000005","0.0","0.0","0.0","0.037000000000000005","0.963","0.037000000000000005","0","1","0","169.89854166666666","12.076583333333334","169.8985325","12.076585099999999","17.076153","15.133331","14.251120000000002","13.818088000000001","13.50745","3836","41","3","142","14.40129"
"587741490372477093","11:19:35.83","+29:09:01.8","21","0.9520000000000001","0.0","0.048","0.0","0.0","0.0","0.048","0.9309999999999999","0.069","0","1","0","169.89929166666667","29.1505","169.89927534","29.15049775","17.861513000000002","15.989506","15.133084","14.720576000000001","14.412011999999999","5061","40","4","361","8.431650999999999"
"588011097799327854","11:19:38.15","+61:29:07.2","62","0.9520000000000001","0.0","0.0","0.0","0.048","0.0","0.0","0.9520000000000001","0.0","0","1","0","169.90895833333335","61.48533333333334","169.90893592","61.48533052","19.823193","18.049587","16.730253","16.237564000000003","15.904076000000002","2298","41","3","81","7.734211999999999"
