"OBJID","RA","DEC","NVOTE","P_EL","P_CW","P_ACW","P_EDGE","P_DK","P_MG","P_CS","P_EL_DEBIASED","P_CS_DEBIASED","SPIRAL","ELLIPTICAL","UNCERTAIN","RA_deg","DEC_deg","ra","dec","u","g","r","i","z","run","rerun","camcol","field","petroRad_r"
"587741720678891662","13:25:39.45","+25:30:32.7","25","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","1","0","0","201.41437499999998","25.509083333333333","201.41435288","25.50908418","18.20993","16.855379","16.089153","15.646476999999999","15.343101999999998","5115","40","1","190","8.53147"
"587741602038481031","13:25:43.78","+26:39:21.5","30","0.067","0.0","0.033","0.9","0.0","0.0","0.9329999999999999","0.015","0.985","1","0","0","201.43241666666665","26.65597222222222","201.43241471","26.6559745","19.307619","17.600094","16.743734","16.229422","15.871307999999999","5087","40","4","313","8.622836999999999"
"587742775104503811","13:25:43.87","+17:15:52.8","32","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","1","0","0","201.43279166666667","17.264666666666667","201.43275259","17.26465802","16.428959","15.391070000000001","14.915838","14.515941","14.341598000000001","5360","40","5","360","9.378305000000001"
"588298663041826954","13:25:45.57","+46:09:41.9","39","0.0","0.9490000000000001","0.026000000000000002","0.026000000000000002","0.0","0.0","1.0","0.0","1.0","1","0","0","201.43987499999997","46.16163888888889","201.43991589","46.16162706","17.050998999999997","15.624613","14.969892999999999","14.563937","14.236806","3716","42","3","114","13.205372"
"587741602038546552","13:25:46.66","+26:37:26.2","48","0.021","0.0","0.958","0.021","0.0","0.0","0.9790000000000001","0.008","0.992","1","0","0","201.44441666666668","26.623944444444444","201.44439171","26.62395081","18.704359","17.502527","17.087448000000002","16.815235","16.947104","5087","40","4","314","8.733073"
"587739407861809315","13:25:49.12","+34:29:27.8","37","0.0","0.973","0.027000000000000003","0.0","0.0","0.0","1.0","0.0","1.0","1","0","0","201.4546666666667","34.491055555555555","201.45467408","34.49105585","17.190454000000003","15.841404999999998","15.310051999999999","15.012108999999999","14.874165","4576","40","5","538","15.716560000000001"
"588017711509667984","13:25:50.11","+50:39:08.0","27","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","1","0","0","201.45879166666668","50.65222222222222","201.45878723","50.65221703","18.830929","17.702745","17.126419","16.791801","16.524599","3838","41","2","44","6.09311"
"587739505012965500","13:25:50.26","+30:47:35.9","26","0.115","0.038","0.038","0.8079999999999999","0.0","0.0","0.885","0.015","0.985","1","0","0","201.45941666666667","30.793305555555555","201.45942547","30.79331359","20.176132","18.315912","17.386011","16.883028","16.468695","4599","40","2","195","5.799618"
"588017992299053215","13:25:51.03","+10:25:37.5","36","0.027999999999999997","0.027999999999999997","0.9440000000000001","0.0","0.0","0.0","0.972","0.006","0.9940000000000001","1","0","0","201.462625","10.427083333333334","201.46262037","10.42708589","19.415449","17.926315","17.244953","16.832664","16.397185999999998","3903","41","5","134","6.726213"
"587726032257941739","13:25:57.11","+01:59:29.1","33","0.0","0.97","0.0","0.03","0.0","0.0","1.0","0.0","1.0","1","0","0","201.48795833333332","1.9914166666666666","201.4879497","1.99141633","19.548920000000003","18.0851","17.119942","16.772219","16.436182000000002","1462","40","3","508","7.833186"
