"OBJID","RA","DEC","NVOTE","P_EL","P_CW","P_ACW","P_EDGE","P_DK","P_MG","P_CS","P_EL_DEBIASED","P_CS_DEBIASED","SPIRAL","ELLIPTICAL","UNCERTAIN","RA_deg","DEC_deg","ra","dec","u","g","r","i","z","run","rerun","camcol","field","petroRad_r"
"587726031730573577","14:52:43.97","+01:12:50.3","38","0.9740000000000001","0.0","0.0","0.0","0.026000000000000002","0.0","0.0","0.9740000000000001","0.0","0","1","0","223.18320833333334","1.2139722222222222","223.18320797","1.2139768","18.930605","16.940136","15.806417999999999","15.340434","14.968207999999999","1462","40","2","653","10.551725999999999"
"587722982295863624","14:52:51.18","-00:44:23.8","31","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","1","0","223.21325","-0.7399444444444445","223.21327317","-0.73994406","18.281242000000002","16.233122","15.25505","14.816873000000001","14.456747","752","40","2","532","9.147053"
"587742061625606358","14:52:51.54","+18:13:47.0","28","0.929","0.0","0.0","0.0","0.071","0.0","0.0","0.929","0.0","0","1","0","223.21474999999998","18.22972222222222","223.21473562","18.22973084","19.497894","17.668959","16.638842","16.211567000000002","15.843725","5194","40","4","704","8.460303"
"587736942521680054","14:52:54.33","+34:10:26.2","24","0.958","0.0","0.0","0.042","0.0","0.0","0.042","0.95","0.05","0","1","0","223.22637500000002","34.173944444444444","223.22639001","34.17394294","19.887722","17.870783","16.611347","16.071835","15.693598999999999","4002","40","5","97","7.219496"
"587742551756046379","14:52:57.76","+16:41:49.5","61","0.934","0.0","0.0","0.0","0.049","0.016","0.0","0.934","0.0","0","1","0","223.2406666666667","16.69708333333333","223.24064578","16.69708679","17.881313000000002","15.691813","14.794660999999998","14.372739000000001","14.056178","5308","40","5","205","6.041893"
"587739131885453626","14:53:00.37","+31:02:25.3","54","0.963","0.019","0.0","0.0","0.0","0.019","0.019","0.948","0.033","0","1","0","223.2515416666667","31.04036111111111","223.25154791","31.04034417","18.561144","16.636446","15.555292000000001","15.187325","14.795601999999999","4512","40","3","161","8.535109"
"587736976879452344","14:53:04.65","+31:34:58.2","26","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","1","0","223.26937500000003","31.582833333333333","223.26934772","31.58283157","19.806686","17.721521","16.455555","15.944447","15.586514000000001","4010","40","5","67","10.703560000000001"
"587729971252691184","14:53:05.38","-01:46:09.4","54","0.963","0.0","0.0","0.037000000000000005","0.0","0.0","0.037000000000000005","0.9279999999999999","0.07200000000000001","0","1","0","223.27241666666663","-1.769277777777778","223.27241783","-1.76928187","18.892141","16.939795","15.920233999999999","15.466370000000001","15.121675","2379","40","4","94","6.4205879999999995"
"588017949901914170","14:53:05.87","+36:55:27.8","47","0.9790000000000001","0.0","0.0","0.021","0.0","0.0","0.021","0.9790000000000001","0.021","0","1","0","223.27445833333334","36.92438888888889","223.27445188","36.92439579","16.788954","14.904078","14.077867999999999","13.686541","13.374442000000002","3893","41","6","373","13.464395999999999"
"588017603623583855","14:53:07.00","+37:06:48.8","57","0.9470000000000001","0.018000000000000002","0.0","0.035","0.0","0.0","0.053","0.9470000000000001","0.053","0","1","0","223.27916666666667","37.11355555555556","223.27918454","37.11354384","19.402310999999997","17.40554","16.363592","15.923372","15.579235","3813","41","1","425","7.651935000000001"
"587733604794958072","14:53:08.40","+54:08:10.4","26","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","1","0","223.285","54.13622222222222","223.28501326","54.13622579","19.627095999999998","17.765383","16.732039999999998","16.306684","15.946256","3225","40","4","93","5.299919999999999"
"587726100950810785","14:53:10.07","+03:34:15.7","25","0.96","0.0","0.0","0.04","0.0","0.0","0.04","0.95","0.05","0","1","0","223.29195833333333","3.5710277777777777","223.29196607","3.57104198","19.362017","17.355564","16.275431","15.820717000000002","15.450660999999998","1478","40","3","102","5.970969"
"588017992308556036","14:53:11.08","+08:33:26.7","31","0.968","0.0","0.0","0.0","0.032","0.0","0.0","0.968","0.0","0","1","0","223.29616666666666","8.557416666666667","223.29616897","8.55740077","20.253853","18.231188","17.096148","16.625359","16.274187","3903","41","5","279","4.287514"
