"OBJID","RA","DEC","NVOTE","P_EL","P_CW","P_ACW","P_EDGE","P_DK","P_MG","P_CS","P_EL_DEBIASED","P_CS_DEBIASED","SPIRAL","ELLIPTICAL","UNCERTAIN","RA_deg","DEC_deg","ra","dec","u","g","r","i","z","run","rerun","camcol","field","petroRad_r"
"587730773888794890","00:00:38.69","+14:35:48.2","19","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","1","0","0","0.16120833333333331","14.596722222222223","0.16119042","14.5967176","19.242821","18.104877","17.485174","17.153305","16.914146","2566","40","3","309","7.384156"
"587727225690194001","00:00:44.79","-10:24:20.9","35","0.0","0.943","0.0","0.057","0.0","0.0","1.0","0.0","1.0","1","0","0","0.186625","-10.405805555555556","0.18662114","-10.40580511","18.131287","16.386044000000002","15.639192999999999","15.235475","14.92605","1740","40","2","23","11.100543"
"587727220876706008","00:00:45.60","+14:04:28.8","27","0.0","0.037000000000000005","0.037000000000000005","0.9259999999999999","0.0","0.0","1.0","0.0","1.0","1","0","0","0.19000000000000003","14.074666666666667","0.19000407","14.07467011","19.627454999999998","18.142094","17.528419","17.145032999999998","16.851233999999998","1739","40","1","303","7.617642"
"587727221413642408","00:00:52.91","+14:24:48.7","28","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","1.0","1","0","0","0.22045833333333334","14.413527777777778","0.22046891","14.41352586","19.928210999999997","17.81531","16.633341","16.056759","15.568091","1739","40","2","304","11.229137"
"588015507658834108","00:00:57.31","-01:06:53.4","30","0.033","0.9","0.067","0.0","0.0","0.0","0.9670000000000001","0.006","0.9940000000000001","1","0","0","0.23879166666666668","-1.1148333333333333","0.23878634","-1.11483075","19.702063","18.226426999999997","17.457285","17.064638000000002","16.952108","3325","41","1","109","6.0754589999999995"
"587727225690259639","00:01:06.37","-10:24:00.9","54","0.0","0.0","0.9440000000000001","0.055999999999999994","0.0","0.0","1.0","0.0","1.0","1","0","0","0.2765416666666667","-10.40025","0.27656162","-10.40026294","17.997405999999998","16.877264","16.388868","16.067894","15.825102","1740","40","2","24","8.102715"
"587727180060295268","00:01:51.29","-09:24:30.4","29","0.0","0.034","0.0","0.966","0.0","0.0","1.0","0.0","1.0","1","0","0","0.4637083333333333","-9.408444444444445","0.46372120000000006","-9.40843579","19.064926","17.700117000000002","17.103735","16.729754999999997","16.428607999999997","1729","40","5","86","18.022984"
"587727223561257129","00:01:53.70","+16:08:15.5","28","0.0","0.036000000000000004","0.0","0.9640000000000001","0.0","0.0","1.0","0.0","1.0","1","0","0","0.47375","16.13763888888889","0.47375743","16.1376391","18.956429","17.158282999999997","16.468033","16.038427","15.70207","1739","40","6","306","12.135553999999999"
"587730773888991473","00:02:15.93","+14:40:18.5","25","0.04","0.0","0.92","0.04","0.0","0.0","0.96","0.012","0.988","1","0","0","0.5663750000000001","14.671805555555556","0.56636371","14.67180724","19.023525","17.797825","17.17631","16.834215","16.696686","2566","40","3","312","11.265533999999999"
"588015510343385169","00:02:21.24","+00:56:14.3","62","0.048","0.032","0.0","0.919","0.0","0.0","0.9520000000000001","0.009","0.991","1","0","0","0.5885","0.9373055555555556","0.58848521","0.93730383","19.574354","18.061085000000002","17.338176999999998","16.87336","16.542343","3325","41","6","112","6.229667"
"588015510343385206","00:02:39.65","+00:56:33.6","69","0.013999999999999999","0.9570000000000001","0.028999999999999998","0.0","0.0","0.0","0.986","0.013999999999999999","0.986","1","0","0","0.6652083333333333","0.9426666666666667","0.66520071","0.94267542","17.803905","16.309420000000003","15.569134","15.161593","14.886215","3325","41","6","112","13.418401000000001"
"588015508732772569","00:02:43.07","-00:24:34.0","33","0.061","0.0","0.0","0.9390000000000001","0.0","0.0","0.9390000000000001","0.012","0.988","1","0","0","0.6794583333333333","-0.40944444444444444","0.67946209","-0.40944393","20.1735","18.437803","17.506952","17.010285999999997","16.593807","3325","41","3","112","18.019907"
"587727221413904560","00:03:25.64","+14:28:37.7","38","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","1","0","0","0.8568333333333333","14.47713888888889","0.85682448","14.477143099999997","19.26967","18.143105","17.531538","17.1346","17.111719","1739","40","2","308","5.860656"
"587727221413904728","00:03:48.03","+14:20:20.3","27","0.037000000000000005","0.0","0.0","0.963","0.0","0.0","0.963","0.009","0.991","1","0","0","0.9501250000000001","14.338972222222223","0.95013838","14.33896816","19.948610000000002","18.626238","17.83963","17.382778","17.066179","1739","40","2","308","8.152201"
"587730772815446262","00:03:58.80","+13:43:28.6","28","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","1","0","0","0.9950000000000001","13.72461111111111","0.99501754","13.72459788","17.807171","16.548583999999998","15.940953","15.602444","15.448917999999999","2566","40","1","315","11.098537"
"587727225153716451","00:04:02.52","-10:51:44.3","61","0.033","0.0","0.033","0.934","0.0","0.0","0.9670000000000001","0.007","0.993","1","0","0","1.0105","-10.862305555555556","1.01051162","-10.86230829","19.742891","18.188566","17.700832000000002","17.357214000000003","17.306976000000002","1740","40","1","29","7.212764999999999"
"587730772815446274","00:04:02.94","+13:45:05.3","34","0.0","0.853","0.0","0.147","0.0","0.0","1.0","0.0","1.0","1","0","0","1.01225","13.751472222222223","1.0122609","13.75146147","19.026142","17.248625","16.545246","16.152552","15.942595","2566","40","1","315","12.129017"
"587731187278086304","00:04:03.27","+00:38:44.4","62","0.032","0.0","0.016","0.9520000000000001","0.0","0.0","0.968","0.006","0.9940000000000001","1","0","0","1.013625","0.6456666666666667","1.01361676","0.64567406","19.379507","18.013229","17.303938","16.8501","16.541716","2662","40","5","289","8.396502"
"587727178986750147","00:04:04.31","-10:21:53.9","74","0.095","0.013999999999999999","0.027000000000000003","0.865","0.0","0.0","0.905","0.013000000000000001","0.987","1","0","0","1.0179583333333333","-10.364972222222223","1.01798044","-10.36498465","20.602684","18.689104","17.697691","17.214361","16.773239","1729","40","3","89","3.757189"
"588015508732969059","00:04:06.01","-00:13:33.4","34","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","1","0","0","1.0250416666666666","-0.22594444444444445","1.02504135","-0.22593805","18.086052","16.699831","15.983785999999998","15.522684","15.273539999999999","3325","41","3","115","5.847625"
"587727226227458180","00:04:10.46","-10:01:18.2","57","0.018000000000000002","0.035","0.8420000000000001","0.105","0.0","0.0","0.982","0.007","0.993","1","0","0","1.0435833333333333","-10.021722222222222","1.04359529","-10.02171303","18.746181","17.029234","16.204021","15.737029999999999","15.407479","1740","40","3","29","11.599428999999999"
