Object Name,RA,DEC,Velocity,Redshift,Magnitude and Filter
SDSS J001012.15+001125.4,2.55063,0.19042,350757,1.17,20.9g
WISEA J001025.03-002508.0,2.6044400000000003,-0.41901000000000005,1962601,6.546531,20.6g
WISEA J001033.51+105230.5,2.63988,10.87575,875094,2.919,20.3
WISEA J001040.43+004012.1,2.66851,0.67006,1886013,6.291061,22.4g
WISEA J001042.79-064707.4,2.67826,-6.785539999999999,914772,3.051352,19.34
SDSS J001054.02-084709.4,2.7251,-8.785960000000001,697187,2.325564,20.6g
WISEA J001118.77+004844.2,2.8284599999999998,0.81238,532132,1.775,20.02
SDSS J001122.53-010849.4,2.8439,-1.1470799999999999,816935,2.725,21.6g
WISEA J001128.76-005233.9,2.86948,-0.8762200000000001,701798,2.340945,21.9g
WISEA J001205.37-005554.3,3.0225,-0.93169,769070,2.565341,21.8g
WISEA J001220.48-010013.4,3.08535,-1.00371,318889,1.063698,22.0g
SDSS J001316.04-090550.2,3.31685,-9.0973,411789,1.37358,21.8g
SDSS J001324.48-021152.7,3.3524599999999998,-2.1978400000000002,784555,2.6169919999999998,20.39
WISEA J001331.80+005953.3,3.38268,0.99824,431797,1.440318,21.1g
WISEA J001343.12+002949.5,3.4295,0.49718,1379398,4.601175,23.5g
SDSS J001344.03+011455.9,3.4335699999999996,1.2488700000000001,667943,2.2280189999999997,22.1g
SDSS J001346.98+144715.3,3.44579,14.7876,1580580,5.272248,21.8g
WISEA J001402.98+154459.8,3.51225,15.75005,396152,1.3214190000000001,21.4g
SDSS J001422.03-005740.1,3.5918099999999997,-0.96116,397225,1.325,19.67
SDSS J001435.23+005805.3,3.6468199999999995,0.96816,320778,1.07,22.1g
WISEA J001435.97+010614.4,3.6498800000000005,1.1042,667217,2.225597,21.4g
SDSS J001448.61+005223.7,3.7025699999999997,0.8732700000000001,899378,3.0,22.1g
SDSS J001455.48+003042.7,3.7312199999999995,0.5119,723257,2.4125240000000003,22.0g
SDSS J001514.93+003119.3,3.81221,0.52205,317210,1.0581,23.3g
SDSS J001520.39+143429.3,3.8349599999999997,14.57485,581963,1.9412200000000002,22.2g
WISEA J001527.60-093136.7,3.8651699999999996,-9.52685,547121,1.825,19.82
WISEA J001534.93-003527.4,3.8953699999999998,-0.59091,677700,2.2605630000000003,21.6g
SDSS J001542.03-005625.7,3.9251300000000002,-0.9405100000000001,832634,2.7773689999999998,21.2g
SDSS J001613.50+000845.1,4.05627,0.1459,837920,2.795,19.9g
SDSS J001615.95+002701.0,4.06647,0.45028,365747,1.22,19.8g
WISEA J001623.85+140146.8,4.09933,14.02945,567097,1.8916330000000001,21.8g
SDSS J001628.87-011519.0,4.1203,-1.25535,713865,2.381198,21.4g
SDSS J001631.71-010426.9,4.13218,-1.07417,1060764,3.5383269999999998,22.0g
SDSS J001635.73-085508.3,4.148969999999999,-8.919,472332,1.575531,21.6g
WISEA J001639.16+011228.8,4.16255,1.20818,305788,1.02,21.1g
SDSS J001655.31-000655.8,4.23048,-0.11555,879954,2.935209,21.6g
WISEA J001705.96+004926.5,4.2752,0.8239200000000001,323776,1.08,20.5g
LCSB S0038P,4.3083599999999995,-10.37766,1203667,4.015,18.47
WISEA J001716.70-085404.8,4.31954,-8.90136,763599,2.547093,21.0g
SDSS J001724.21-000038.0,4.3509,-0.01059,365747,1.22,20.4g
WISEA J001724.97-092725.7,4.35343,-9.4573,749202,2.49907,21.0g
WISEA J001728.74+004444.4,4.369669999999999,0.74583,1143767,3.8151940000000004,18.6g
WISEA J001735.47+140257.9,4.39778,14.04945,343014,1.1441700000000001,21.9g
WISEA J001751.83+003646.0,4.46595,0.61295,485909,1.620817,21.0g
WISEA J001813.90-090108.1,4.55802,-9.01897,387388,1.292188,20.9g
SDSS J001829.81+011301.3,4.624219999999999,1.21705,326774,1.09,21.1g
SDSS J001830.27+005045.0,4.62614,0.8458399999999999,347759,1.16,21.3g
WISEA J001841.17+010111.8,4.67157,1.01979,427416,1.425707,21.0g
SDSS J001849.49+003840.4,4.706230000000001,0.64457,437697,1.46,20.8g
WISEA J001849.69-102636.0,4.7072199999999995,-10.44342,562111,1.875,19.92
WISEA J001851.77+161621.9,4.71583,16.27264,541425,1.806,20.6i
SDSS J001912.47+001242.4,4.80197,0.2118,326774,1.09,21.5g
WISEA J001912.99-062411.6,4.80408,-6.4032800000000005,1401073,4.673477,19.53
SDSS J001921.28-000030.1,4.83867,-0.00839,340052,1.134292,22.7g
WISEA J001922.85-100040.9,4.84524,-10.01149,472173,1.575,19.90
SDSS J001939.11+010204.4,4.91299,1.03457,473672,1.58,22.7g
WISEA J001946.61-005018.8,4.94399,-0.83867,458411,1.529094,21.1g
WISEA J001947.37-104555.0,4.94768,-10.76522,532132,1.775,20.45
SDSS J001958.03-105049.2,4.99183,-10.847,457184,1.525,20.41
WISEA J002002.17+152819.3,5.00891,15.472179999999998,2095379,6.989432000000001,23.1g
SDSS J002004.38+005539.2,5.01826,0.92758,899378,3.0,21.0g
WISEA J002038.98-005931.0,5.1624,-0.9918299999999999,552911,1.844313,20.6g
SDSS J002041.13-011017.0,5.17141,-1.17141,439763,1.466891,22.7g
WISEA J002107.80+004607.5,5.28249,0.76867,350757,1.17,20.8g
WISEA J002113.93+155733.0,5.308330000000001,15.95914,2097694,6.997152000000001,22.7g
SDSS J002151.90-094636.5,5.46626,-9.776810000000001,418211,1.395,21.2g
WISEA J002214.74+004234.3,5.56142,0.70957,306717,1.023099,20.4g
WISEA J002229.73-074303.7,5.62392,-7.717689999999999,334463,1.115648,18.28
WISEA J002247.28-002255.3,5.69719,-0.38201999999999997,410716,1.37,21.4g
SDSS J002250.17-001134.9,5.70905,-0.19304000000000002,860404,2.87,22.0g
SDSS J002302.92+010756.4,5.76221,1.13235,456511,1.522758,21.2g
