Object Name,RA,DEC,Velocity,Redshift,Magnitude and Filter
WISEA J001658.47-000629.4,4.2436,-0.10830999999999999,248213,0.82795,21.2g
WISEA J001712.85+142131.8,4.30363,14.358939999999999,229221,0.764598,21.7g
WISEA J001713.66-002425.1,4.30696,-0.40701,231834,0.773316,22.1g
WISEA J001720.73+155240.7,4.33643,15.87796,240823,0.8033,21.1g
WISEA J001733.40-000511.2,4.3892,-0.08638,231278,0.771461,22.3g
WISEA J001737.97-002858.4,4.4082,-0.48283000000000004,255531,0.852359,21.9g
SDSS J001740.60+003319.0,4.4192,0.55529,245830,0.82,22.2g
SDSS J001748.88+010736.5,4.45367,1.12681,242832,0.81,21.2g
WISEA J001755.67+003527.5,4.4819,0.59096,290799,0.97,21.7g
SDSS J001816.41-002154.8,4.56838,-0.36523,243426,0.811983,20.5g
WISEA J001838.28+001334.1,4.65945,0.22604000000000002,290799,0.97,22.1g
WISEA J001905.48-010157.9,4.77286,-1.0328600000000001,226643,0.756001,23.0g
WISEA J001906.60-014856.8,4.777480000000001,-1.8163799999999999,262251,0.874775,18.60
WISEA J002049.98+160427.6,5.20821,16.07433,225262,0.751393,22.6g
WISEA J002050.58+002314.7,5.2108099999999995,0.38741,265888,0.886907,22.5g
WISEA J002055.91-004435.7,5.23318,-0.74327,225684,0.7528020000000001,22.8g
WISEA J002058.48-000731.6,5.24368,-0.12555999999999998,228758,0.763055,20.1g
WISEA J002202.87-001311.5,5.51203,-0.21966,250478,0.8355040000000001,21.2g
SDSS J002208.30-003639.4,5.5347,-0.6110300000000001,236835,0.7899970000000001,22.9g
WISEA J002217.11-003632.5,5.5714,-0.6091,240327,0.801646,21.0g
WISEA J002222.57-005924.6,5.594119999999999,-0.99015,234091,0.780845,21.8g
WISEA J002240.41+000659.7,5.66836,0.11667000000000001,238790,0.796517,23.0g
WISEA J002300.09-010334.6,5.75035,-1.0598299999999998,229846,0.766684,22.6g
WISEA J002331.99-004348.7,5.88342,-0.73021,285199,0.9513209999999999,20.0g
WISEA J002333.46+160044.0,5.88936,16.01224,230001,0.767199,23.5g
WISEA J002340.08+151649.4,5.91699,15.2804,244081,0.814168,21.4g
SDSS J002346.55+000133.3,5.94402,0.025939999999999998,235814,0.786591,21.6g
WISEA J002401.71-011248.0,6.007219999999999,-1.2132,232888,0.77683,21.4g
WISEA J002409.57-004008.8,6.03985,-0.6691699999999999,245830,0.82,21.5g
WISEA J002422.28+140144.3,6.09304,14.028970000000001,260058,0.867459,21.5g
WISEA J002422.41-001348.0,6.09347,-0.2301,269813,0.9,22.2g
WISEA J002432.89+011110.3,6.13708,1.1861899999999999,254824,0.85,20.8g
WISEA J002456.78+153814.5,6.23669,15.63735,259000,0.863931,21.7g
WISEA J002512.58+000145.1,6.30233,0.029160000000000002,248477,0.828831,21.7g
WISEA J002520.63-002417.6,6.33579,-0.40492,233838,0.78,21.4g
