Object Name,RA,DEC,Velocity,Redshift,Magnitude and Filter
WISEA J001153.43-000910.0,2.97266,-0.1528,-7,-2.3e-05,17.47
WISEA J001208.92+000804.9,3.0371799999999998,0.13476,-38,-0.000127,19.8g
WISEA J001219.03+023938.5,3.07865,2.66082,-187,-0.0006230000000000001,19.70
WISEA J001219.81+010938.5,3.08276,1.16055,-1001,-0.003339,22.2g
WISEA J001224.46-004454.2,3.10168,-0.74831,-40,-0.000132,19.84
WISEA J001229.10+153133.6,3.1212400000000002,15.525960000000001,-80,-0.000267,22.7g
WISEA J001238.55+010721.7,3.16065,1.1228200000000002,-9,-3.1e-05,17.7g
WISEA J001244.76+001618.7,3.18648,0.27189,-9,-2.9999999999999997e-05,20.0g
2MASS J00125884+0059210,3.24519,0.98916,-2,-8e-06,19.4g
WISEA J001314.26-000556.0,3.3092099999999998,-0.09901,-18,-5.9999999999999995e-05,18.0g
SDSS J001320.14-002931.8,3.3339199999999996,-0.49218,-157,-0.000525,19.5g
WISEA J001321.39+003605.4,3.33911,0.60151,-6,-1.9e-05,16.9g
WISEA J001323.99+010347.9,3.34982,1.06334,-43,-0.00014199999999999998,20.7g
WISEA J001353.75+145049.0,3.4740599999999997,14.847010000000001,-7,-2.4e-05,19.2g
SDSS J001401.12-084606.0,3.5047099999999998,-8.768360000000001,-135,-0.00045,21.5g
WISEA J001403.54+010406.1,3.51471,1.06837,-76,-0.000252,19.7g
WISEA J001405.89+002512.2,3.5245599999999997,0.42007,-6,-1.9e-05,16.8g
WISEA J001416.51-003612.1,3.56885,-0.6033,-28,-9.2e-05,22.3g
SDSS J001437.60+001351.3,3.6567,0.23093000000000002,-249,-0.0008300000000000001,18.2g
WISEA J001441.97-092721.4,3.6749400000000003,-9.45607,-24,-8e-05,22.4g
SDSS J001454.45-010322.5,3.7269099999999997,-1.05625,-659,-0.002198,17.9g
SDSS J001459.31-000611.4,3.7471400000000004,-0.10319,-147,-0.000491,20.3g
WISEA J001502.94-001926.0,3.76225,-0.32393,-37,-0.000124,20.9g
WISEA J001504.53-000756.7,3.7688599999999997,-0.13224,-12,-3.9e-05,21.8g
WISEA J001505.42+011215.8,3.7726,1.2043700000000002,-2,-6e-06,21.5g
WISEA J001515.92-002245.1,3.8164,-0.37921,-732,-0.002441,18.9g
WISEA J001521.22+143234.8,3.8384400000000003,14.543029999999998,-50,-0.000168,22.3g
WISEA J001541.37-001954.7,3.9224099999999997,-0.33188,-104,-0.000348,19.3g
WISEA J001602.89-003904.0,4.0121,-0.65117,-9,-3.1e-05,20.6g
