

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.


queryDateTime:2019-09-27T12:25:26PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.	Object Name	RA	DEC	Type	Velocity	Redshift	Redshift Flag	Magnitude and Filter	Separation	References	Notes	Photometry Points	Positions	Redshift Points	Diameter Points	Associations
40	SDSS J021327.89-005630.4	 33.36624 	  -0.94178 	G	934853	 3.118334 	SPEC	21.9g	  0.000	5	0	15	3	2	4	0
41	SDSS J022115.52+002527.8	 35.31469 	   0.42439 	G	1878056	 6.264520 	SPEC	21.8g	  0.000	0	0	15	2	1	4	0
42	SDSS J022229.28-093826.0	 35.62204 	  -9.64056 	G	1960385	 6.539141 	SPEC	21.9g	  0.000	0	0	15	2	1	4	0
43	SDSS J022429.01-005629.0	 36.12088 	  -0.94139 	G	1205246	 4.020269 	SPEC	23.5g	  0.000	0	0	15	3	2	3	0
44	SDSS J022706.14-010953.5	 36.77560 	  -1.16487 	G	1091475	 3.640767 	SPEC	21.3g	  0.000	0	0	15	2	1	4	0
45	SDSS J022927.37-004219.5	 37.36406 	  -0.70543 	G	1628420	 5.431825 	SPEC	21.0g	  0.000	1	0	15	2	1	4	0
46	SDSS J023110.94-001753.2	 37.79561 	  -0.29812 	G	1670475	 5.572103 	SPEC	22.5g	  0.000	0	0	15	2	1	4	0
47	SDSS J023209.85-003426.1	 38.04106 	  -0.57394 	G	1023740	 3.414830 	SPEC	22.3g	  0.000	4	0	15	4	3	4	0
48	SDSS J023932.00-005200.7	 39.88336 	  -0.86687 	G	1239974	 4.136108 	SPEC	23.3g	  0.000	0	0	15	2	1	4	0
49	SDSS J024054.49-000104.7	 40.22706 	  -0.01799 	G	1109471	 3.700795 	SPEC	20.9g	  0.000	4	0	15	4	3	4	0
50	SDSS J024100.06+005328.1	 40.25025 	   0.89115 	G	915925	 3.055198 	SPEC	22.0g	  0.000	0	0	15	3	2	4	0
51	SDSS J024434.44-004106.4	 41.14351 	  -0.68512 	G	1228198	 4.096828 	SPEC	22.3g	  0.000	3	0	15	2	1	4	1
52	SDSS J024536.39+005748.3	 41.40164 	   0.96344 	G	928506	 3.097161 	SPEC	22.0g	  0.000	0	0	15	5	4	4	0
53	SDSS J024626.99+003116.4	 41.61247 	   0.52123 	G	990790	 3.304919 	SPEC	21.5g	  0.000	6	0	15	4	2	4	0
54	SDSS J024824.56-084518.4	 42.10235 	  -8.75513 	G	1899965	 6.337601 	SPEC	21.0g	  0.000	2	0	15	2	1	4	0
55	SDSS J025141.29-000819.0	 42.92207 	  -0.13862 	G	2011308	 6.709000 	SPEC	22.0g	  0.000	0	0	15	3	2	3	0
56	SDSS J025350.05-003827.2	 43.45857 	  -0.64090 	G	2034582	 6.786635 	SPEC	25.1g	  0.000	1	0	15	2	1	3	0
57	SDSS J025625.32-072256.8	 44.10551 	  -7.38245 	G	1270578	 4.238190 	    	22.7g	  0.000	1	0	15	1	1	4	0
58	SDSS J030124.12-073617.0	 45.35053 	  -7.60473 	G	2009859	 6.704167 	SPEC	22.6g	  0.000	2	0	15	2	1	4	0
59	SDSS J030627.74-001507.6	 46.61562 	  -0.25212 	G	911369	 3.040000 	PHOT	22.6g	  0.000	1	0	21	2	0	4	0
60	SDSS J030633.11-001800.2	 46.63799 	  -0.30007 	G	1151203	 3.840000 	PHOT	23.4g	  0.000	1	0	21	2	0	4	0
61	SDSS J030641.43-001104.3	 46.67264 	  -0.18454 	G	1013299	 3.380000 	PHOT	21.0g	  0.000	1	0	21	2	0	4	0
62	SDSS J030648.88-001718.9	 46.70370 	  -0.28859 	G	1079253	 3.600000 	PHOT	23.8g	  0.000	1	0	21	2	0	3	0
63	SDSS J031018.18+000222.5	 47.57579 	   0.03959 	G	1267213	 4.226967 	SPEC	20.6g	  0.000	2	0	15	2	1	4	0
64	SDSS J031114.48+010756.4	 47.81036 	   1.13236 	G	1956729	 6.526943 	SPEC	21.8g	  0.000	1	0	15	2	1	3	0
65	SDSS J031443.57+000717.1	 48.68158 	   0.12143 	G	1151203	 3.840000 	PHOT	24.1g	  0.000	1	0	21	2	0	4	0
66	SDSS J031447.33+001223.5	 48.69724 	   0.20653 	G	1139212	 3.800000 	PHOT	22.7g	  0.000	1	0	21	2	0	4	0
